millis,a_x,a_y,a_z,f
70497,-0.49,0.78,0.93,0
70501,-0.34,0.93,1.47,0
70505,-0.34,0.93,1.47,0
70510,-0.34,0.93,1.47,0
70514,-0.34,0.93,1.47,0
70518,-0.34,0.93,1.07,0
70528,-0.34,0.88,1.07,0
70532,-0.34,0.88,1.07,0
70536,-0.34,0.88,1.22,0
70541,-0.24,0.88,1.22,0
70546,-0.24,0.88,1.22,0
70550,-0.24,0.88,1.22,0
70554,-0.24,0.88,1.22,0
70558,-0.34,0.98,1.03,0
70563,-0.34,0.98,1.03,0
70567,-0.34,0.98,1.03,0
70571,-0.34,0.98,1.03,0
70576,-0.34,0.93,1.22,0
70580,-0.29,0.93,1.22,0
70584,-0.29,0.93,1.22,0
70589,-0.29,0.93,1.22,0
70593,-0.29,0.93,2,0
70597,-0.2,1.07,1.56,0
70601,-0.2,1.07,1.56,0
70606,-0.2,1.07,1.56,0
70610,-0.2,1.07,1.56,0
70615,-0.34,0.93,1.22,0
70619,-0.34,0.93,1.22,0
70623,-0.34,0.93,1.22,0
70628,-0.34,0.93,1.22,0
70632,-0.34,0.93,1.27,0
70636,-0.44,1.03,1.27,0
70641,-0.44,1.03,1.27,0
70645,-0.44,1.03,1.27,0
70649,-0.44,1.03,1.27,0
70654,-0.15,0.78,1.32,0
70658,-0.15,0.78,1.32,0
70662,-0.15,0.78,1.32,0
70667,-0.15,0.78,1.32,0
70671,-0.34,1.03,1.27,0
70675,-0.34,1.03,1.27,0
70680,-0.34,1.03,1.27,0
70684,-0.34,1.03,1.27,0
70688,-0.34,1.03,1.03,0
70693,-0.44,0.93,1.03,0
70697,-0.44,0.93,1.03,0
70701,-0.44,0.93,1.03,0
70705,-0.44,0.93,1.03,0
70709,-0.29,1.07,1.27,0
70714,-0.29,1.07,1.27,0
70718,-0.29,1.07,1.27,0
70722,-0.29,1.07,1.27,0
70727,-0.29,1.07,1.32,0
70731,-0.29,0.98,1.32,0
70735,-0.29,0.98,1.32,0
70739,-0.29,0.98,1.32,0
70744,-0.29,0.98,1.32,0
70771,-0.34,1.07,1.17,0
70776,-0.34,1.07,1.17,0
70780,-0.34,1.07,1.17,0
70784,-0.34,1.07,1.12,0
70789,-0.34,1.22,1.12,0
70793,-0.34,1.22,1.12,0
70797,-0.34,1.22,1.12,0
70801,-0.34,1.22,1.12,0
70806,-0.2,0.98,1.12,0
70810,-0.2,0.98,1.12,0
70814,-0.2,0.98,1.12,0
70819,-0.2,0.98,1.12,0
70823,-0.34,1.12,1.03,0
70827,-0.34,1.12,1.03,0
70832,-0.34,1.12,1.03,0
70836,-0.34,1.12,1.03,0
70840,-0.34,1.12,1.27,0
70845,-0.15,1.07,1.27,0
70849,-0.15,1.07,1.27,0
70853,-0.15,1.07,1.27,0
70857,-0.15,1.07,1.27,0
70862,-0.2,1.03,1.22,0
70866,-0.2,1.03,1.22,0
70870,-0.2,1.03,1.22,0
70875,-0.2,1.03,1.22,0
70879,-0.2,1.03,1.12,0
70883,-0.15,0.88,1.12,0
70887,-0.15,0.88,1.12,0
70892,-0.15,0.88,1.12,0
70896,-0.15,0.88,1.12,0
70900,-0.2,0.68,1.66,0
70904,-0.2,0.68,1.66,0
70909,-0.2,0.68,1.66,0
70913,-0.2,0.68,1.66,0
70932,-0.34,0.98,1.03,0
70936,-0.34,0.98,1.12,0
70940,-0.29,1.12,1.12,0
70945,-0.29,1.12,1.12,0
70962,-0.1,0.98,1.07,0
70967,-0.1,0.98,1.07,0
70971,-0.1,0.98,1.07,0
70975,-0.15,1.03,1.37,0
70980,-0.15,1.03,1.37,0
70984,-0.15,1.03,1.37,0
70988,-0.15,1.03,1.37,0
70993,-0.15,1.03,1.12,0
70997,-0.2,0.88,1.12,0
71001,-0.2,0.88,1.12,0
71006,-0.2,0.88,1.12,0
71010,-0.2,0.88,1.12,0
71014,-0.1,1.07,1.37,0
71019,-0.1,1.07,1.37,0
71023,-0.1,1.07,1.37,0
71027,-0.1,1.07,1.37,0
71032,-0.2,0.93,1.17,0
71036,-0.2,0.93,1.17,0
71040,-0.2,0.93,1.17,0
71045,-0.2,0.93,1.17,0
71049,-0.2,0.93,0.98,0
71053,-0.1,0.98,0.98,0
71058,-0.1,0.98,0.98,0
71062,-0.1,0.98,0.98,0
71066,-0.1,0.98,0.98,0
71071,-0.24,1.03,1.22,0
71075,-0.24,1.03,1.22,0
71079,-0.24,1.03,1.22,0
71084,-0.24,1.03,1.22,0
71088,-0.24,0.98,1.27,0
71092,-0.34,0.98,1.27,0
71097,-0.34,0.98,1.27,0
71101,-0.34,0.98,1.27,0
71105,-0.34,0.98,1.27,0
71110,-0.15,1.22,1.03,0
71114,-0.15,1.22,1.03,0
71118,-0.15,1.22,1.03,0
71123,-0.15,1.22,1.03,0
71127,-0.15,1.07,1.22,0
71131,-0.15,1.07,1.22,0
71136,-0.15,1.07,1.22,0
71140,-0.15,1.07,1.22,0
71144,-0.15,1.07,1.17,0
71149,-0.1,1.12,1.17,0
71153,-0.1,1.12,1.17,0
71157,-0.1,1.12,1.17,0
71161,-0.1,1.12,1.17,0
71166,-0.24,1.17,1.07,0
71170,-0.24,1.17,1.07,0
71174,-0.24,1.17,1.07,0
71179,-0.24,1.17,1.07,0
71183,-0.24,1.17,1.03,0
71187,-0.15,1.03,1.03,0
71191,-0.15,1.03,1.03,0
71195,-0.15,1.03,1.03,0
71200,-0.15,1.03,1.03,0
71204,-0.1,0.68,1.66,0
71208,-0.1,0.68,1.66,0
71213,-0.1,0.68,1.66,0
71217,-0.1,0.68,1.66,0
71221,-0.1,1.12,1.22,0
71225,-0.29,1.12,1.22,0
71230,-0.29,1.12,1.22,0
71234,-0.29,1.12,1.22,0
71238,-0.29,1.12,1.22,0
71288,-0.2,1.12,1.07,0
71292,-0.2,1.12,1.07,0
71296,-0.2,1.12,1.32,0
71301,-0.24,1.17,1.32,0
71305,-0.24,1.17,1.32,0
71310,-0.24,1.17,1.32,0
71314,-0.24,1.17,1.32,0
71318,-0.1,1.07,1.32,0
71323,-0.1,1.07,1.32,0
71327,-0.1,1.07,1.32,0
71331,-0.1,1.07,1.32,0
71336,-0.1,1.07,1.32,0
71340,-0.1,1.07,1.32,0
71344,-0.1,1.07,1.32,0
71349,-0.1,1.07,1.32,0
71353,-0.1,1.07,1.22,0
71357,-0.29,1.07,1.22,0
71362,-0.29,1.07,1.22,0
71366,-0.29,1.07,1.22,0
71370,-0.29,1.07,1.22,0
71375,-0.24,1.03,1.27,0
71379,-0.24,1.03,1.27,0
71383,-0.24,1.03,1.27,0
71388,-0.24,1.03,1.27,0
71392,-0.24,0.98,1.32,0
71396,-0.2,0.98,1.32,0
71401,-0.2,0.98,1.32,0
71405,-0.2,0.98,1.32,0
71409,-0.2,0.98,1.27,0
71414,-0.1,1.03,1.27,0
71418,-0.1,1.03,1.27,0
71423,-0.1,1.03,1.27,0
71427,-0.1,1.03,1.27,0
71431,-0.15,0.83,1.42,0
71435,-0.15,0.83,1.42,0
71440,-0.15,0.83,1.42,0
71444,-0.15,0.83,1.42,0
71449,-0.15,0.83,1.56,0
71453,-0.1,0.93,1.56,0
71457,-0.1,0.93,1.56,0
71461,-0.1,0.93,1.56,0
71466,-0.1,0.93,0.78,0
71470,-0.24,1.27,1.17,0
71474,-0.24,1.27,1.17,0
71479,-0.24,1.27,1.17,0
71483,-0.24,1.27,1.17,0
71487,-0.2,1.03,1.07,0
71492,-0.2,1.03,1.07,0
71496,-0.2,1.03,1.07,0
71500,-0.2,1.03,1.07,0
71504,-0.2,1.03,1.07,0
71509,-0.2,0.83,1.07,0
71513,-0.2,0.83,1.07,0
71517,-0.2,0.83,1.07,0
71522,-0.2,0.83,1.07,0
71526,-0.2,1.12,1.03,0
71530,-0.2,1.12,1.03,0
71535,-0.2,1.12,1.03,0
71539,-0.2,1.12,1.03,0
71543,-0.2,1.12,1.17,0
