millis,, a_y, a_z, g_x, g_y, g_z,f
150492,0.9,1.36,-9.83,0.02,-0.01,0,0
150514,0.86,1.38,-9.76,0.02,0,0,0
150519,0.9,1.35,-9.75,0.02,-0.01,0,0
150546,0.86,1.32,-9.85,0.03,-0.01,0,0
150550,0.82,1.39,-9.78,0.03,0,0,0
150556,0.81,1.35,-9.79,0.03,0,0,0
150560,0.87,1.38,-9.81,0.03,0,0,0
150565,0.83,1.34,-9.79,0.03,0,0,0
150570,0.84,1.35,-9.82,0.03,0,0,0
150574,0.89,1.32,-9.78,0.03,0,0,0
150579,0.88,1.37,-9.8,0.02,0,0,0
150584,0.87,1.45,-9.83,0.02,0,0,0
150589,0.89,1.29,-9.84,0.03,0,0,0
150594,0.85,1.34,-9.83,0.02,0,0,0
150600,0.85,1.32,-9.76,0.03,-0.01,0,0
150605,0.87,1.33,-9.76,0.02,0,0,0
150610,0.9,1.34,-9.8,0.02,0,0,0
150614,0.85,1.35,-9.78,0.03,0,0,0
150620,0.9,1.37,-9.76,0.03,0,0,0
150624,0.87,1.28,-9.73,0.03,0,0,0
150630,0.87,1.34,-9.79,0.03,0,0,0
150635,0.84,1.27,-9.81,0.03,0,0,0
150640,0.79,1.37,-9.86,0.03,0,0,0
150644,0.92,1.44,-9.73,0.02,0,0,0
150649,0.91,1.38,-9.8,0.02,0,0,0
150654,0.89,1.36,-9.69,0.02,0,0,0
150659,0.82,1.34,-9.69,0.02,0,0,0
150665,0.84,1.4,-9.72,0.02,0,0,0
150670,0.86,1.37,-9.71,0.02,0,0,0
150674,0.89,1.32,-9.74,0.02,0,0,0
150682,0.91,1.4,-9.78,0.02,0,0,0
150687,0.85,1.4,-9.75,0.03,0,0,0
150693,0.82,1.36,-9.71,0.03,0,0,0
150697,0.84,1.43,-9.76,0.02,0,0,0
150703,0.84,1.41,-9.75,0.02,0,0,0
150707,0.88,1.43,-9.8,0.02,0,0,0
150712,0.85,1.42,-9.74,0.03,0,0,0
150717,0.85,1.36,-9.76,0.03,0,0,0
150721,0.88,1.41,-9.77,0.03,0,0,0
150727,0.82,1.32,-9.76,0.02,0,0,0
150731,0.87,1.4,-9.84,0.03,0,0,0
150736,0.9,1.4,-9.73,0.02,0,0,0
150740,0.83,1.42,-9.71,0.02,0,0,0
150745,0.88,1.41,-9.72,0.03,0,0,0
150749,0.77,1.41,-9.83,0.03,0,0,0
150754,0.86,1.4,-9.75,0.03,0,0,0
150758,0.77,1.39,-9.82,0.02,0,0,0
150763,0.89,1.37,-9.76,0.02,0,0,0
150768,0.79,1.4,-9.81,0.02,0,0,0
150772,0.82,1.37,-9.75,0.02,0,0,0
150777,0.82,1.33,-9.76,0.02,0,0,0
150782,0.85,1.33,-9.79,0.03,0,0,0
150787,0.84,1.36,-9.72,0.03,0,0,0
150791,0.79,1.4,-9.77,0.02,0,0,0
150796,0.91,1.45,-9.79,0.03,0,0,0
150801,0.89,1.41,-9.71,0.03,0,0.01,0
150805,0.89,1.32,-9.78,0.02,0,0,0
150810,0.83,1.5,-9.78,0.02,0,0,0
150815,0.89,1.38,-9.75,0.03,0,0,0
150820,0.85,1.39,-9.73,0.02,0,0,0
150825,0.86,1.42,-9.75,0.02,0,0,0
150829,0.84,1.38,-9.75,0.02,0,0.01,0
150834,0.84,1.24,-9.79,0.03,0,0.01,0
150838,0.86,1.31,-9.8,0.03,0,0.01,0
150843,0.85,1.39,-9.73,0.02,0,0,0
150847,0.91,1.4,-9.74,0.03,0,0.01,0
150852,0.79,1.35,-9.74,0.02,0,0.01,3641
150856,0.86,1.39,-9.77,0.03,0,0.01,3885
150861,0.91,1.39,-9.77,0.03,0,0,4095
150865,0.88,1.36,-9.84,0.02,0,0.01,4095
150876,0.86,1.3,-9.76,0.03,0,0.01,4095
150881,0.82,1.39,-9.72,0.02,0,0.01,4095
150886,0.89,1.36,-9.82,0.02,0,0.01,4095
