a_x a_y a_z f
-0.10 1.27 1.27 0
429484 -0.34 0.93 1.03 0
429488 -0.34 0.93 1.03 0
429492 -0.34 0.93 1.03 0
429496 -0.49 0.93 1.03 0
429501 -0.49 0.93 1.03 0
429505 -0.49 0.93 1.03 0
429509 -0.49 0.93 1.03 0
429514 -0.39 1.07 1.03 0
429518 -0.39 1.07 1.03 0
429522 -0.39 1.07 1.03 0
429527 -0.39 1.07 1.03 0
429531 -0.39 1.07 0.98 0
429535 -0.39 0.93 0.98 0
429540 -0.39 0.93 0.98 0
429544 -0.39 0.93 0.98 0
429548 -0.39 0.93 0.98 0
429553 -0.68 1.03 0.98 0
429557 -0.68 1.03 0.98 0
429562 -0.68 1.03 0.98 0
429566 -0.68 1.03 0.98 0
429570 -0.49 0.78 1.03 0
429575 -0.49 0.78 1.03 0
429579 -0.49 0.78 1.03 0
429583 -0.49 0.78 1.03 0
429588 -0.49 0.78 0.98 0
429592 -0.34 0.93 0.98 0
429596 -0.34 0.93 0.98 0
429601 -0.34 0.93 0.98 0
429605 -0.34 0.93 0.98 0
429609 -0.59 1.07 1.17 0
429614 -0.59 1.07 1.17 0
429618 -0.59 1.07 1.17 0
429622 -0.59 1.07 1.17 0
429626 -0.59 1.07 0.98 0
429631 -0.64 0.83 0.98 0
429635 -0.64 0.83 0.98 0
429639 -0.64 0.83 0.98 0
429644 -0.64 0.83 0.98 0
429648 -0.54 1.03 1.12 0
429652 -0.54 1.03 1.12 0
429656 -0.54 1.03 1.12 0
429661 -0.54 1.03 1.12 0
429665 -0.54 0.88 1.17 0
429669 -0.54 0.88 1.17 0
429673 -0.54 0.88 1.17 0
429678 -0.54 0.88 1.17 0
429682 -0.54 0.88 1.17 0
429686 -0.49 0.78 1.17 0
429691 -0.49 0.78 1.17 0
429695 -0.49 0.78 1.17 0
429699 -0.49 0.78 1.17 0
429703 -0.59 0.93 0.93 0
429708 -0.59 0.93 0.93 0
429712 -0.59 0.93 0.93 0
429716 -0.59 0.93 0.93 0
429720 -0.59 0.93 0.93 0
429798 -0.68 0.78 0.64 0
429802 -0.64 0.78 0.64 0
429806 -0.64 0.78 0.64 0
429811 -0.64 0.78 0.64 0
429815 -0.64 0.78 1.42 0
429819 -0.78 0.93 0.88 0
429823 -0.78 0.93 0.88 0
429829 -0.78 0.93 0.88 0
429833 -0.78 0.93 0.88 0
429837 -0.93 0.83 0.83 0
429841 -0.93 0.83 0.83 0
429846 -0.93 0.83 0.83 0
429850 -0.93 0.83 0.83 0
429854 -0.93 0.93 0.78 0
429859 -1.27 0.93 0.78 0
429863 -1.27 0.93 0.78 0
429867 -1.27 0.93 0.78 0
429878 -2.05 0.88 0.98 0
429882 -2.05 0.88 0.98 0
429886 -2.05 0.88 0.98 0
429891 -2.05 0.88 0.98 0
429895 -2.69 0.68 1.47 0
429899 -2.69 0.68 1.47 0
429904 -2.69 0.68 1.47 0
429908 -2.69 0.68 1.47 0
429912 -2.88 0.49 1.51 0
429916 -2.88 0.49 1.51 0
429921 -2.88 0.49 1.51 0
429925 -2.88 0.49 1.51 0
429929 -2.88 0.49 2.10 0
429933 -3.18 0.64 2.10 0
429938 -3.18 0.64 2.10 0
429948 -3.18 0.64 2.88 0
429959 -2.83 0.54 2.83 0
429964 -2.83 0.54 2.83 0
429968 -2.83 0.54 2.69 0
429972 -2.20 0.64 2.69 0
429977 -2.20 0.64 2.69 0
429981 -2.20 0.64 2.69 0
429985 -2.20 0.64 2.69 0
429990 -0.73 1.32 1.76 0
429994 -0.73 1.32 1.76 1441
429998 -0.73 1.32 1.76 3425
430002 -0.73 1.32 1.76 4015
430007 6.30 4.20 1.17 4095
430011 6.40 4.20 1.17 4095
430015 6.40 4.20 1.17 4095
430019 6.40 4.20 1.17 4095
430023 6.40 4.20 -6.64 4095
430028 9.18 2.44 -6.45 4095
430032 9.18 2.44 -6.45 4095
430036 9.18 2.44 -6.45 4095
430040 9.18 2.44 -6.45 4095
430045 5.72 0.98 1.03 4095
430049 5.72 0.98 1.03 4095
430053 5.72 0.98 1.03 4095
430057 5.72 0.98 1.03 4095
430061 5.72 0.98 1.03 4095
430075 1.81 -0.44 2.59 4095
430080 1.81 -0.44 2.59 4080
430084 0.78 -0.98 0.24 4004
430112 -0.49 0.39 -1.32 2288
430117 -0.49 0.39 -1.32 1634
430121 0.24 0.73 1.07 1429
430125 0.24 0.73 1.07 805
430130 0.24 0.73 1.07 758
430134 0.24 0.73 1.07 839
430138 0.24 0.73 1.56 771
430142 -0.15 1.47 1.56 453
430147 -0.15 1.47 1.56 593
430151 -0.15 1.47 1.56 289
430155 -0.15 1.47 1.56 311
430160 -0.49 1.03 0.59 369
430164 -0.49 1.03 0.59 293
430168 -0.49 1.03 0.59 240
430173 -0.49 1.03 0.59 153
430177 -0.49 0.24 0.44 74
430181 -0.54 0.73 0.44 18
430185 -0.54 0.73 0.44 27
430190 -0.54 0.73 0.44 73
430194 -0.54 0.73 0.44 76
430198 -0.20 1.03 0.68 26
430203 -0.20 1.03 0.68 51
430207 -0.20 1.03 0.68 0
430211 -0.20 1.03 0.68 0
430216 -0.20 0.83 0.44 0
430220 -0.20 0.83 0.44 0
430224 -0.20 0.83 0.44 0
430229 -0.20 0.83 0.44 0
430233 -0.20 0.83 0.24 0
430237 -0.29 0.98 0.24 0
430242 -0.29 0.98 0.24 0
430246 -0.29 0.98 0.24 0
430250 -0.29 0.98 0.24 0
430255 -0.20 0.78 0.59 0
430259 -0.20 0.78 0.59 0
430263 -0.20 0.78 0.59 0
430268 -0.20 0.78 0.59 0
430272 -0.20 0.98 0.39 0
430277 -0.15 0.98 0.39 0
430281 -0.15 0.98 0.39 0
430285 -0.15 0.98 0.39 0
430290 -0.15 0.98 0.39 0
430294 -0.44 0.93 0.24 0
430298 -0.44 0.93 0.24 0
430303 -0.44 0.93 0.24 0
430307 -0.44 0.93 0.24 0
430311 -0.24 0.93 0.24 0
430315 -0.24 0.93 0.24 0
430320 -0.24 0.93 0.24 0
430324 -0.24 0.93 0.24 0
430328 -0.24 0.93 0.49 0
430333 -0.20 1.07 0.49 0
430337 -0.20 1.07 0.49 0
430341 -0.20 1.07 0.49 0
430346 -0.20 1.07 0.49 0
430350 -0.39 0.93 0.44 0
430354 -0.39 0.93 0.44 0
430359 -0.39 0.93 0.44 0
430363 -0.39 0.93 0.44 0
430367 -0.39 1.07 0.59 0
430371 -0.39 1.07 0.59 0
430376 -0.39 1.07 0.59 0
430380 -0.39 1.07 0.59 0
430384 -0.39 1.07 0.59 0
430388 -0.39 1.03 0.39 0
430393 -0.39 1.03 0.39 0
430397 -0.39 1.03 0.39 0
