a_x a_y a_z g_x g_y g_z
".02,-0.01,0.01"
"411892,1.12,1.60,-9.77,0.02,-0.01,-0.00"
"411899,1.14,1.60,-9.79,0.02,-0.02,-0.00"
"411904,1.09,1.57,-9.82,0.02,-0.01,-0.00"
"411908,1.00,1.58,-9.77,0.02,-0.01,-0.00"
"411913,1.06,1.60,-9.73,0.02,-0.01,-0.00"
"411918,1.06,1.63,-9.77,0.02,-0.01,-0.00"
"411922,1.09,1.59,-9.73,0.02,-0.02,-0.00"
"411927,1.02,1.63,-9.73,0.02,-0.01,-0.01"
"411932,1.08,1.61,-9.71,0.02,-0.01,-0.00"
"411951,1.10,1.57,-9.71,0.02,-0.01,-0.00"
"411955,1.05,1.55,-9.74,0.02,-0.01,-0.00"
"411960,1.09,1.57,-9.73,0.02,-0.01,-0.01"
"411965,1.00,1.52,-9.72,0.02,-0.01,-0.00"
"411969,1.09,1.57,-9.72,0.02,-0.01,-0.01"
"412005,1.08,1.54,-9.70,0.02,-0.01,-0.01"
"412010,1.13,1.65,-9.71,0.02,-0.01,-0.01"
"412018,1.08,1.54,-9.74,0.02,-0.01,-0.00"
"412024,1.11,1.52,-9.72,0.02,-0.01,-0.00"
"412031,1.10,1.58,-9.78,0.02,-0.01,-0.01"
"412036,1.08,1.52,-9.77,0.02,-0.01,-0.00"
"412041,1.04,1.58,-9.79,0.02,-0.01,-0.01"
"412045,1.04,1.60,-9.74,0.02,-0.01,-0.01"
"412051,1.04,1.56,-9.71,0.02,-0.01,-0.00"
"412055,1.17,1.58,-9.69,0.02,-0.01,-0.00"
"412060,1.07,1.61,-9.77,0.02,-0.01,-0.00"
"412064,1.16,1.60,-9.73,0.02,-0.01,-0.01"
"412069,1.05,1.62,-9.71,0.02,-0.01,-0.01"
"412073,1.13,1.59,-9.70,0.02,-0.01,-0.00"
"412078,1.11,1.64,-9.69,0.02,-0.01,-0.01"
"412082,1.06,1.63,-9.69,0.02,-0.01,-0.01"
"412087,1.07,1.51,-9.71,0.02,-0.01,-0.00"
"412092,1.01,1.51,-9.68,0.02,-0.01,-0.00"
"412096,1.07,1.61,-9.71,0.02,-0.01,-0.00"
"412101,1.17,1.59,-9.75,0.02,-0.01,-0.00"
"412105,1.07,1.53,-9.76,0.02,-0.01,-0.01"
"412110,1.08,1.54,-9.71,0.02,-0.01,-0.01"
"412114,1.07,1.56,-9.68,0.02,-0.01,-0.01"
"412119,1.03,1.60,-9.78,0.02,-0.01,-0.01"
"412124,1.08,1.57,-9.75,0.02,-0.01,-0.01"
"412128,1.11,1.59,-9.72,0.02,-0.01,-0.00"
"412133,1.15,1.62,-9.67,0.01,-0.00,-0.00"
"412139,1.08,1.58,-9.73,0.01,-0.01,-0.00"
"412144,1.21,1.55,-9.71,0.02,-0.01,-0.01"
"412148,1.09,1.57,-9.81,0.02,-0.01,-0.01"
"412153,1.00,1.57,-9.70,0.02,-0.01,-0.00"
"412157,1.10,1.61,-9.81,0.02,-0.01,-0.00"
"412234,1.11,1.60,-9.76,0.01,-0.01,-0.01"
"412239,1.08,1.60,-9.71,0.02,-0.00,-0.00"
"412243,1.06,1.54,-9.69,0.01,-0.00,-0.01"
"412249,1.08,1.59,-9.76,0.02,-0.01,-0.01"
"412253,1.03,1.60,-9.75,0.01,-0.00,-0.00"
"412258,1.11,1.52,-9.76,0.01,-0.00,-0.01"
"412262,1.10,1.57,-9.73,0.02,-0.01,-0.01"
"412267,1.16,1.58,-9.76,0.01,-0.01,-0.00"
"412271,1.04,1.58,-9.70,0.01,-0.00,-0.01"
"412276,1.07,1.63,-9.72,0.01,-0.00,-0.01"
"412280,1.02,1.55,-9.82,0.01,-0.01,-0.01"
"412285,1.12,1.60,-9.76,0.02,-0.01,-0.01"
"412338,1.12,1.60,-9.77,0.01,-0.00,-0.00"
"412343,1.09,1.50,-9.71,0.01,-0.00,-0.01"
"412347,1.06,1.56,-9.72,0.01,-0.00,-0.00"
"412353,1.08,1.59,-9.73,0.01,-0.00,-0.00"
"412357,1.16,1.56,-9.70,0.01,-0.00,-0.01"
"412363,1.04,1.64,-9.78,0.01,-0.00,-0.00"
"412367,1.04,1.48,-9.75,0.01,-0.00,-0.00"
"412372,1.13,1.49,-9.71,0.01,-0.01,-0.00"
"412377,1.09,1.61,-9.77,0.01,-0.00,-0.00"
"412381,1.07,1.54,-9.75,0.01,-0.00,-0.00"
"412386,1.01,1.60,-9.71,0.01,-0.00,-0.00"
"412391,1.06,1.60,-9.80,0.01,-0.00,-0.01"
"412396,1.10,1.61,-9.78,0.01,-0.00,-0.00"
"412401,1.06,1.56,-9.76,0.01,-0.00,-0.00"
"412406,1.11,1.55,-9.84,0.01,-0.00,-0.00"
"412411,1.02,1.59,-9.79,0.01,-0.00,-0.00"
"412416,1.14,1.52,-9.74,0.01,-0.00,-0.00"
"412421,1.18,1.60,-9.73,0.01,-0.00,-0.00"
"412426,1.05,1.59,-9.70,0.01,-0.00,-0.00"
"412431,1.17,1.52,-9.75,0.01,-0.00,-0.00"
"412436,1.04,1.57,-9.68,0.01,-0.00,-0.00"
"412441,1.00,1.53,-9.71,0.01,-0.00,-0.00"
