"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"345714,1.14,1.18,-9.76,0.01,-0.00,0.02"
"345718,1.17,1.20,-9.71,0.01,0.00,0.02"
"345722,1.23,1.23,-9.71,0.01,0.00,0.02"
"345726,1.20,1.21,-9.75,0.01,-0.00,0.02"
"345730,1.23,1.18,-9.73,0.01,-0.00,0.02"
"345734,1.28,1.17,-9.81,0.01,-0.00,0.02"
"345738,1.13,1.21,-9.81,0.01,-0.00,0.02"
"345742,1.22,1.19,-9.82,0.01,-0.00,0.02"
"345745,1.25,1.16,-9.84,0.01,-0.00,0.02"
"345844,1.21,1.22,-9.80,0.00,-0.00,0.02"
"345848,1.25,1.17,-9.69,0.00,-0.00,0.02"
"345852,1.23,1.21,-9.84,0.00,-0.00,0.02"
"345856,1.20,1.23,-9.72,0.00,0.00,0.02"
"345860,1.17,1.20,-9.70,0.00,-0.00,0.02"
"345864,1.20,1.18,-9.74,0.00,-0.00,0.02"
"345868,1.24,1.20,-9.86,0.00,-0.00,0.02"
"345872,1.18,1.20,-9.79,0.00,-0.00,0.02"
"345877,1.20,1.17,-9.82,0.00,-0.00,0.02"
"345882,1.23,1.20,-9.70,0.00,0.00,0.02"
"345886,1.19,1.24,-9.83,0.00,0.00,0.02"
"345895,1.18,1.24,-9.70,0.00,-0.00,0.02"
"345899,1.22,1.23,-9.74,0.00,0.00,0.02"
"345903,1.21,1.17,-9.73,0.00,-0.00,0.02"
"345906,1.20,1.20,-9.83,0.00,0.00,0.02"
"345910,1.28,1.19,-9.72,0.00,-0.00,0.02"
"345914,1.19,1.23,-9.79,0.00,-0.00,0.02"
"345917,1.24,1.22,-9.81,0.00,-0.00,0.02"
"345921,1.29,1.20,-9.79,0.00,-0.00,0.02"
"345925,1.20,1.13,-9.78,0.00,0.00,0.02"
"345972,1.22,1.18,-9.77,0.00,-0.00,0.02"
"345976,1.24,1.20,-9.72,-0.00,-0.00,0.02"
"345980,1.20,1.21,-9.71,-0.00,-0.00,0.02"
"345986,1.28,1.23,-9.85,-0.00,-0.00,0.02"
"345992,1.26,1.17,-9.79,0.00,-0.00,0.02"
"345995,1.18,1.18,-9.79,-0.00,-0.00,0.02"
"345999,1.26,1.20,-9.81,-0.00,-0.00,0.02"
"346004,1.23,1.22,-9.76,-0.00,-0.00,0.02"
"346007,1.19,1.17,-9.85,-0.00,-0.00,0.02"
"346013,1.14,1.23,-9.78,-0.00,-0.00,0.02"
"346018,1.16,1.23,-9.71,-0.00,-0.00,0.02"
"346024,1.20,1.17,-9.72,-0.00,-0.00,0.02"
"346028,1.17,1.11,-9.70,-0.00,-0.00,0.02"
"346032,1.20,1.16,-9.86,-0.00,-0.01,0.02"
"346040,1.25,1.18,-9.79,-0.00,-0.00,0.02"
"346044,1.14,1.23,-9.82,-0.00,-0.01,0.02"
"346047,1.26,1.19,-9.77,-0.00,-0.00,0.02"
"346051,1.18,1.23,-9.71,-0.00,-0.01,0.02"
"346055,1.15,1.23,-9.79,-0.00,-0.00,0.02"
"346438,-4.20,1.41,-7.16,-0.06,0.06,-0.01"
"346443,-1.69,1.14,-7.44,0.01,0.02,-0.04"
"346447,0.95,1.09,-7.75,0.05,0.01,-0.05"
"346450,2.34,1.07,-8.09,0.04,0.02,-0.04"
"346454,3.63,1.09,-8.55,0.00,0.04,-0.03"
"346458,4.71,0.80,-8.99,-0.01,0.05,-0.02"
"346462,5.07,0.54,-9.42,0.01,0.05,-0.02"
"346467,4.91,0.67,-10.39,0.02,0.03,0.00"
"346471,4.29,0.87,-10.78,0.01,0.02,0.03"
"346475,3.29,1.21,-11.10,0.01,0.01,0.05"
"346478,2.03,1.45,-11.13,0.00,-0.01,0.07"
"346597,-1.38,0.15,-10.45,0.00,-0.40,0.01"
"346603,-0.40,0.34,-11.22,0.02,-0.42,-0.00"
"346608,0.75,-0.05,-11.55,0.02,-0.41,-0.01"
"346612,1.69,0.16,-11.79,0.05,-0.40,-0.02"
"346618,2.79,0.62,-11.92,0.04,-0.37,-0.02"
"346622,3.37,1.00,-11.94,0.03,-0.38,0.01"
"346628,3.51,1.43,-11.11,0.04,-0.39,0.03"
"346632,3.39,2.24,-11.21,0.03,-0.41,0.05"
"346638,2.75,2.25,-10.37,0.02,-0.39,0.05"
"346642,2.02,2.95,-10.09,0.01,-0.40,0.05"
"346646,1.32,3.22,-9.83,-0.01,-0.41,0.07"
"346650,0.50,2.96,-9.54,-0.03,-0.42,0.06"
"346654,0.26,2.61,-9.36,-0.02,-0.40,0.04"
"346658,0.12,1.58,-9.17,-0.01,-0.38,0.01"
"346662,0.64,0.61,-9.43,-0.01,-0.37,0.00"
"346668,1.23,-0.83,-9.02,0.02,-0.35,-0.02"
"346671,1.54,-0.97,-9.27,0.05,-0.35,-0.03"
"346677,1.99,-1.05,-9.05,0.03,-0.35,-0.01"
"346682,2.73,-1.03,-8.92,0.04,-0.35,0.02"
"346686,3.17,-0.44,-9.27,0.05,-0.34,0.02"
"346689,3.60,-0.03,-9.60,0.05,-0.31,0.02"
"346694,3.87,0.65,-9.49,0.05,-0.28,0.02"
"346698,3.92,1.12,-9.67,0.05,-0.29,0.03"
"346702,3.88,1.43,-9.95,0.06,-0.30,0.04"
"346706,3.56,1.83,-10.30,0.06,-0.28,0.03"
"346711,3.69,2.13,-10.38,0.05,-0.25,0.03"
"346714,3.75,2.21,-10.15,0.04,-0.21,0.03"
"346718,3.93,2.27,-10.29,0.04,-0.20,0.01"
"346722,3.91,1.96,-10.30,0.04,-0.19,0.01"
"346727,3.77,1.79,-10.25,0.04,-0.16,0.00"
"346731,3.75,1.33,-10.04,0.03,-0.14,0.00"
"346735,3.70,0.99,-9.90,0.03,-0.12,-0.00"
"346738,3.82,0.81,-9.94,0.04,-0.11,-0.01"
"346742,3.89,0.74,-9.71,0.04,-0.08,-0.01"
"346747,4.13,0.53,-9.46,0.05,-0.05,-0.01"
"346751,4.09,0.45,-9.22,0.06,-0.04,-0.01"
"346756,3.79,0.58,-9.00,0.06,-0.02,-0.01"
"346760,3.53,0.80,-8.85,0.05,-0.01,-0.00"
"346766,2.94,0.87,-8.80,0.06,-0.01,0.01"
"346770,2.65,1.14,-8.70,0.06,0.01,0.01"
"346773,2.56,1.33,-8.86,0.05,0.02,0.00"
"346777,2.56,1.56,-8.98,0.05,0.03,0.00"
"346781,2.60,1.79,-9.04,0.05,0.04,-0.00"
"346785,2.36,2.09,-9.07,0.04,0.06,-0.00"
"346790,2.54,2.30,-9.44,0.02,0.06,-0.01"
"346794,2.46,2.34,-9.54,0.01,0.08,-0.01"
"346799,2.44,2.34,-9.72,0.01,0.10,-0.02"
"346803,2.57,2.02,-10.04,0.01,0.11,-0.03"
"346807,2.67,1.73,-10.28,0.00,0.12,-0.03"
"346810,2.66,1.50,-10.48,-0.00,0.14,-0.03"
"346814,2.57,1.36,-10.62,0.00,0.14,-0.03"
"346818,2.43,1.28,-10.59,-0.00,0.15,-0.03"
"346822,2.25,1.10,-10.65,-0.00,0.15,-0.03"
"346826,2.10,1.12,-10.69,-0.00,0.16,-0.03"
"346830,1.82,1.11,-10.61,-0.00,0.16,-0.02"
"346835,1.45,1.11,-10.47,0.00,0.16,-0.02"
"346839,1.23,1.22,-10.30,0.00,0.16,-0.02"
"346844,0.78,1.52,-10.18,0.00,0.15,-0.01"
"346848,0.54,1.69,-9.95,-0.00,0.14,-0.01"
"346854,0.31,1.89,-9.60,-0.01,0.13,-0.01"
"346859,0.25,2.08,-9.58,-0.01,0.12,-0.02"
"346864,0.18,2.08,-9.47,-0.03,0.13,-0.02"
"346868,0.25,1.77,-9.47,-0.03,0.14,-0.03"
"346874,0.49,1.55,-9.54,-0.03,0.13,-0.05"
"346879,0.60,1.06,-9.69,-0.03,0.13,-0.05"
"346883,0.68,1.00,-9.74,-0.03,0.12,-0.04"
"346886,0.67,0.82,-9.71,-0.03,0.12,-0.04"
"346890,0.54,0.78,-9.84,-0.03,0.11,-0.04"
"346894,0.32,0.79,-10.01,-0.03,0.10,-0.04"
"346898,0.22,0.92,-10.13,-0.03,0.08,-0.03"
"346902,-0.01,0.94,-10.08,-0.02,0.08,-0.03"
"346906,-0.18,0.91,-10.08,-0.02,0.07,-0.03"
"346910,-0.33,1.05,-10.14,-0.02,0.06,-0.03"
"346914,-0.33,1.22,-10.26,-0.02,0.05,-0.03"
"346918,-0.31,1.21,-10.07,-0.02,0.04,-0.03"
"346922,-0.49,1.45,-10.10,-0.02,0.03,-0.03"
"346941,-0.65,1.41,-9.64,-0.03,-0.02,-0.03"
"346945,-0.49,1.35,-9.65,-0.03,-0.04,-0.03"
"346949,-0.33,1.25,-9.69,-0.03,-0.05,-0.03"
"346975,-0.16,0.60,-9.04,-0.02,-0.11,-0.02"
"346979,-0.18,0.94,-9.15,-0.01,-0.12,-0.03"
"346984,-0.10,1.15,-9.29,-0.01,-0.13,-0.03"
"346988,-0.34,0.92,-9.54,-0.01,-0.15,-0.02"
"346992,-0.42,0.73,-9.26,-0.01,-0.15,-0.02"
"346997,-1.00,1.18,-9.70,-0.01,-0.18,-0.02"
"347001,-0.60,1.33,-10.11,-0.02,-0.21,-0.01"
"347007,-0.61,0.83,-9.73,-0.00,-0.18,-0.04"
"347011,-0.57,1.24,-10.12,-0.00,-0.21,-0.04"
"347017,0.09,0.71,-10.25,-0.00,-0.23,-0.03"
"347021,0.27,0.76,-10.22,0.00,-0.21,-0.04"
"347027,0.56,0.56,-10.18,0.01,-0.23,-0.04"
"347031,1.00,0.97,-10.43,0.01,-0.24,-0.03"
"347037,1.13,0.59,-10.27,0.01,-0.23,-0.03"
"347041,0.72,0.72,-10.19,0.02,-0.24,-0.03"
"347048,0.75,0.66,-10.16,0.02,-0.26,-0.01"
"347052,0.82,0.56,-10.21,0.03,-0.26,-0.03"
"347056,1.07,0.20,-9.83,0.05,-0.24,-0.04"
"347060,0.93,0.69,-9.79,0.05,-0.24,-0.04"
"347066,1.10,0.26,-9.77,0.05,-0.27,-0.01"
"347070,1.27,0.78,-9.93,0.06,-0.27,-0.02"
"347075,1.61,0.78,-9.91,0.06,-0.24,-0.03"
"347081,1.80,0.75,-9.66,0.07,-0.25,-0.03"
"347085,1.63,0.68,-9.83,0.07,-0.25,-0.03"
"347090,2.15,1.04,-10.25,0.07,-0.25,-0.03"
"347096,2.40,0.70,-9.49,0.08,-0.20,-0.03"
"347101,2.64,1.12,-10.22,0.07,-0.23,-0.03"
"347105,2.83,0.70,-10.00,0.08,-0.20,-0.03"
"347109,2.62,1.19,-9.87,0.09,-0.19,-0.04"
"347115,2.80,0.60,-9.98,0.08,-0.18,-0.03"
"347118,2.92,0.71,-10.12,0.09,-0.16,-0.04"
"347125,3.27,0.90,-9.89,0.09,-0.14,-0.03"
"347129,3.34,0.99,-9.76,0.09,-0.12,-0.03"
"347134,3.68,1.00,-9.84,0.09,-0.10,-0.03"
"347139,3.52,1.44,-9.69,0.09,-0.08,-0.03"
"347145,3.29,1.57,-9.34,0.09,-0.08,-0.03"
"347151,3.15,1.80,-9.42,0.09,-0.05,-0.03"
"347155,3.11,1.70,-9.36,0.08,-0.04,-0.03"
"347158,3.00,1.68,-9.27,0.08,-0.02,-0.04"
"347162,3.02,1.81,-9.27,0.07,-0.01,-0.04"
"347167,2.94,1.72,-9.11,0.07,0.00,-0.04"
"347171,2.89,1.69,-9.06,0.06,0.02,-0.05"
"347174,2.96,1.40,-9.17,0.06,0.04,-0.06"
"347178,3.03,1.31,-9.27,0.06,0.05,-0.06"
"347182,3.16,1.27,-9.32,0.06,0.07,-0.06"
"347185,3.15,1.18,-9.23,0.06,0.08,-0.05"
"347189,3.09,1.33,-9.31,0.06,0.08,-0.05"
"347193,2.94,1.34,-9.46,0.05,0.09,-0.05"
"347196,2.98,1.53,-9.65,0.05,0.10,-0.05"
"347200,2.95,1.49,-9.70,0.05,0.12,-0.05"
"347204,2.79,1.57,-9.70,0.05,0.13,-0.06"
"347218,2.63,1.54,-9.98,0.04,0.16,-0.07"
"347223,2.55,1.47,-10.08,0.04,0.18,-0.07"
"347228,2.41,1.46,-10.13,0.03,0.19,-0.07"
"347232,2.34,1.50,-10.06,0.03,0.20,-0.07"
"347236,2.40,1.47,-10.04,0.03,0.21,-0.07"
"347240,2.36,1.38,-9.98,0.03,0.22,-0.07"
"347244,2.03,1.50,-10.02,0.03,0.22,-0.07"
"347248,2.02,1.40,-9.94,0.02,0.22,-0.06"
"347252,1.75,1.58,-9.79,0.02,0.23,-0.07"
"347255,1.59,1.42,-9.75,0.02,0.23,-0.07"
"347259,1.39,1.44,-9.80,0.02,0.23,-0.07"
"347263,1.24,1.31,-9.78,0.01,0.23,-0.07"
"347267,1.06,1.30,-9.73,0.01,0.24,-0.07"
"347270,1.17,1.21,-9.71,0.02,0.23,-0.07"
"347274,0.93,1.17,-9.79,0.01,0.24,-0.08"
"347278,0.82,1.18,-9.71,0.01,0.23,-0.07"
"347281,1.00,1.15,-9.76,0.01,0.23,-0.08"
"347285,0.78,1.23,-9.80,0.02,0.22,-0.08"
"347289,0.83,1.26,-9.79,0.01,0.22,-0.08"
"347292,0.79,1.37,-9.88,0.01,0.22,-0.08"
"347308,0.66,1.65,-9.97,0.00,0.21,-0.08"
"347311,0.58,1.65,-10.04,-0.00,0.20,-0.08"
