"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"75118,0.14,1.25,-9.77,0.01,-0.01,0.00"
"75122,0.15,1.30,-9.78,0.01,-0.01,-0.00"
"75127,0.11,1.26,-9.77,0.01,-0.01,-0.00"
"75131,0.07,1.35,-9.69,0.02,-0.01,-0.00"
"75136,0.04,1.29,-9.82,0.02,-0.01,0.00"
"75139,0.11,1.25,-9.77,0.01,-0.01,-0.00"
"75143,0.05,1.27,-9.76,0.01,-0.01,0.00"
"75147,0.06,1.23,-9.78,0.02,-0.01,-0.00"
"75154,0.12,1.26,-9.82,0.02,-0.01,-0.00"
"75161,-0.01,1.31,-9.74,0.02,-0.01,-0.00"
"75166,0.10,1.32,-9.73,0.02,-0.01,-0.00"
"75173,0.06,1.34,-9.78,0.02,-0.01,-0.00"
"75178,0.09,1.26,-9.72,0.02,-0.01,0.00"
"75182,0.15,1.26,-9.77,0.02,-0.01,0.00"
"75186,0.08,1.30,-9.79,0.02,-0.01,-0.00"
"75190,0.15,1.26,-9.76,0.02,-0.01,-0.00"
"75194,0.11,1.32,-9.78,0.02,-0.01,-0.00"
"75199,0.11,1.25,-9.81,0.02,-0.01,-0.00"
"75205,0.19,1.36,-9.80,0.02,-0.01,-0.00"
"75210,0.09,1.35,-9.72,0.02,-0.01,-0.00"
"75214,0.04,1.22,-9.75,0.03,-0.01,-0.00"
"75218,0.13,1.34,-9.74,0.02,-0.01,0.00"
"75222,0.12,1.27,-9.74,0.02,-0.01,0.00"
"75226,0.11,1.30,-9.83,0.02,-0.01,-0.00"
"75229,0.13,1.29,-9.77,0.02,-0.01,-0.00"
"75233,0.12,1.26,-9.82,0.02,-0.01,-0.00"
"75237,0.13,1.36,-9.80,0.02,-0.01,-0.00"
"75241,0.13,1.26,-9.77,0.02,-0.01,0.00"
"75247,0.12,1.43,-9.81,0.03,-0.01,-0.00"
"75251,0.18,1.32,-9.82,0.02,-0.01,0.00"
"75255,0.08,1.22,-9.82,0.02,-0.01,-0.00"
"75259,0.09,1.28,-9.80,0.02,-0.01,0.00"
"75263,0.16,1.26,-9.78,0.02,-0.01,-0.00"
"75267,0.05,1.27,-9.82,0.02,-0.01,0.00"
"75271,0.18,1.32,-9.77,0.02,-0.02,-0.00"
"75275,0.07,1.25,-9.75,0.02,-0.01,0.00"
"75279,0.02,1.27,-9.84,0.03,-0.01,-0.00"
"75285,0.08,1.23,-9.75,0.02,-0.01,0.00"
"75290,0.12,1.24,-9.75,0.02,-0.01,-0.00"
"75294,0.10,1.25,-9.79,0.03,-0.01,0.00"
"75299,0.08,1.31,-9.77,0.03,-0.02,-0.00"
"75303,0.14,1.28,-9.73,0.03,-0.02,-0.00"
"75309,0.09,1.32,-9.80,0.03,-0.01,0.00"
"75313,0.16,1.23,-9.76,0.03,-0.01,0.00"
"75316,0.08,1.27,-9.79,0.03,-0.01,0.00"
"75320,0.14,1.29,-9.75,0.02,-0.01,-0.00"
"75325,0.15,1.35,-9.77,0.03,-0.01,0.00"
"75329,0.07,1.22,-9.79,0.03,-0.01,0.00"
"75332,0.14,1.31,-9.75,0.03,-0.02,-0.00"
"75337,0.13,1.34,-9.80,0.03,-0.01,0.00"
"75341,0.17,1.25,-9.74,0.03,-0.02,0.00"
"75345,0.11,1.35,-9.71,0.03,-0.02,0.00"
"75348,0.11,1.29,-9.78,0.03,-0.01,0.00"
"75352,0.12,1.24,-9.80,0.03,-0.01,0.00"
"75356,0.10,1.20,-9.77,0.03,-0.01,0.00"
"75360,0.09,1.33,-9.82,0.03,-0.01,0.00"
"75363,0.22,1.26,-9.71,0.03,-0.02,0.00"
"75367,0.17,1.24,-9.71,0.03,-0.02,0.00"
"75371,0.14,1.24,-9.85,0.03,-0.02,-0.00"
"75375,0.11,1.27,-9.75,0.03,-0.01,0.00"
"75379,0.09,1.32,-9.82,0.03,-0.02,0.00"
"75382,0.11,1.30,-9.76,0.03,-0.02,0.00"
"75386,0.14,1.23,-9.78,0.03,-0.01,0.00"
"75418,0.11,1.22,-9.82,0.03,-0.01,0.00"
"75422,0.15,1.30,-9.80,0.03,-0.02,0.00"
"75427,0.06,1.23,-9.81,0.04,-0.02,0.00"
"75432,0.10,1.32,-9.82,0.03,-0.02,0.00"
"75437,0.22,1.21,-9.76,0.03,-0.02,0.00"
"75442,0.19,1.28,-9.85,0.03,-0.02,0.00"
"75447,0.13,1.26,-9.72,0.04,-0.02,0.00"
"75452,0.16,1.37,-9.78,0.04,-0.02,0.00"
"75457,0.13,1.33,-9.74,0.04,-0.02,-0.00"
"75462,0.09,1.23,-9.72,0.04,-0.02,0.00"
"75467,0.07,1.26,-9.81,0.04,-0.01,0.00"
"75471,0.22,1.30,-9.75,0.04,-0.02,0.00"
"75475,0.15,1.24,-9.80,0.04,-0.02,0.00"
"75479,0.08,1.24,-9.77,0.04,-0.02,0.00"
"75483,0.07,1.28,-9.70,0.03,-0.02,0.00"
"75487,0.11,1.32,-9.78,0.04,-0.02,0.00"
"75491,0.11,1.28,-9.77,0.04,-0.02,0.00"
"75495,0.06,1.25,-9.75,0.04,-0.02,0.00"
"75499,0.13,1.28,-9.85,0.04,-0.02,0.00"
"75503,0.13,1.33,-9.83,0.04,-0.02,0.00"
"75509,0.11,1.23,-9.76,0.04,-0.02,-0.00"
"75514,0.16,1.32,-9.82,0.04,-0.02,0.00"
"75518,0.11,1.31,-9.77,0.04,-0.02,0.00"
"75522,0.11,1.31,-9.83,0.04,-0.02,0.00"
"75525,0.12,1.37,-9.81,0.04,-0.02,0.00"
"75529,0.09,1.38,-9.72,0.04,-0.02,0.00"
"75533,0.04,1.27,-9.68,0.04,-0.02,0.00"
"75537,0.09,1.25,-9.78,0.04,-0.02,0.00"
"75540,0.11,1.32,-9.78,0.04,-0.02,0.00"
"75544,0.11,1.30,-9.81,0.04,-0.02,0.00"
"75548,0.14,1.23,-9.76,0.04,-0.02,0.00"
"75552,0.04,1.27,-9.77,0.04,-0.02,0.00"
"75555,0.11,1.34,-9.79,0.04,-0.02,0.00"
"75559,0.10,1.33,-9.85,0.04,-0.02,-0.00"
"75563,0.12,1.37,-9.78,0.04,-0.02,0.00"
"75567,0.12,1.29,-9.74,0.04,-0.02,0.00"
"75570,0.16,1.31,-9.78,0.04,-0.02,0.00"
"75574,0.10,1.33,-9.73,0.04,-0.02,0.00"
"75578,0.13,1.27,-9.74,0.04,-0.02,0.00"
"75616,0.15,1.33,-9.78,0.04,-0.02,0.00"
"75620,0.19,1.30,-9.73,0.04,-0.02,0.00"
"75624,0.20,1.30,-9.81,0.04,-0.02,0.00"
"75627,0.09,1.30,-9.77,0.04,-0.02,0.00"
"75631,0.10,1.34,-9.73,0.04,-0.02,0.00"
"75635,0.10,1.26,-9.71,0.04,-0.02,0.00"
"75743,0.11,1.32,-9.72,0.05,-0.02,0.00"
"75746,0.16,1.23,-9.82,0.04,-0.02,0.00"
"75750,0.09,1.27,-9.87,0.05,-0.02,0.00"
"75754,0.11,1.27,-9.75,0.05,-0.02,0.00"
"75758,0.11,1.32,-9.78,0.05,-0.02,0.00"
"75761,0.09,1.29,-9.78,0.05,-0.02,0.00"
"75788,0.14,1.32,-9.72,0.05,-0.02,0.00"
"75792,0.12,1.37,-9.76,0.05,-0.02,0.00"
"75797,0.15,1.32,-9.72,0.05,-0.02,0.00"
"75802,0.07,1.41,-9.78,0.05,-0.02,0.00"
"75807,0.08,1.29,-9.81,0.05,-0.02,0.00"
"75811,0.10,1.37,-9.74,0.05,-0.02,0.00"
"75815,0.06,1.31,-9.79,0.05,-0.02,0.00"
"75821,0.05,1.37,-9.83,0.05,-0.02,0.00"
"75824,0.10,1.35,-9.76,0.05,-0.02,0.00"
"75830,0.09,1.32,-9.74,0.05,-0.02,0.00"
"75834,0.11,1.38,-9.88,0.05,-0.02,0.00"
"75840,0.10,1.30,-9.74,0.05,-0.02,0.00"
"75844,0.13,1.31,-9.82,0.05,-0.02,0.00"
"75850,0.16,1.33,-9.82,0.05,-0.02,0.00"
"75854,0.11,1.43,-9.76,0.05,-0.02,0.00"
"75860,0.11,1.25,-9.76,0.05,-0.02,0.00"
"75864,0.11,1.32,-9.76,0.05,-0.02,0.00"
"75870,0.07,1.39,-9.72,0.05,-0.02,0.00"
"75874,0.06,1.33,-9.78,0.05,-0.02,0.00"
"75878,0.12,1.25,-9.77,0.05,-0.02,0.00"
"75882,0.11,1.31,-9.78,0.05,-0.02,0.00"
"75886,0.04,1.28,-9.72,0.05,-0.02,0.00"
"75890,0.13,1.30,-9.78,0.05,-0.02,0.00"
"75895,0.13,1.31,-9.82,0.05,-0.02,0.00"
"75898,0.13,1.28,-9.66,0.05,-0.02,0.00"
"75904,0.16,1.24,-9.78,0.05,-0.02,0.00"
"75907,0.16,1.31,-9.72,0.05,-0.02,0.00"
"75911,0.17,1.29,-9.78,0.05,-0.02,0.00"
"75917,0.18,1.25,-9.76,0.05,-0.02,0.00"
"75920,0.14,1.43,-9.80,0.05,-0.02,0.00"
"75926,0.08,1.34,-9.77,0.05,-0.02,0.00"
"75930,0.13,1.31,-9.76,0.05,-0.02,0.00"
"75934,0.12,1.28,-9.81,0.05,-0.02,0.00"
"75938,0.07,1.38,-9.77,0.04,-0.02,0.00"
"75942,0.15,1.36,-9.89,0.05,-0.02,0.00"
"75946,0.11,1.32,-9.75,0.05,-0.02,0.00"
"75951,0.10,1.36,-9.71,0.05,-0.02,0.00"
"75955,0.15,1.36,-9.81,0.05,-0.02,0.00"
"75959,0.22,1.34,-9.79,0.05,-0.02,0.00"
"75963,0.16,1.40,-9.78,0.04,-0.02,0.00"
"75967,0.11,1.38,-9.82,0.05,-0.02,0.00"
"75971,0.11,1.40,-9.83,0.05,-0.02,0.00"
"75976,0.13,1.36,-9.78,0.05,-0.02,0.00"
"75980,0.11,1.34,-9.69,0.05,-0.02,0.00"
"75986,0.15,1.32,-9.71,0.05,-0.02,0.00"
"75990,0.12,1.38,-9.76,0.05,-0.02,0.00"
"75994,0.16,1.38,-9.77,0.04,-0.02,0.00"
"75998,0.05,1.34,-9.74,0.05,-0.02,0.00"
"76003,0.12,1.25,-9.81,0.04,-0.02,0.00"
"76007,0.23,1.34,-9.77,0.04,-0.02,0.00"
"76011,0.11,1.34,-9.79,0.05,-0.02,0.00"
"76016,0.13,1.42,-9.82,0.04,-0.02,0.00"
"76019,0.09,1.44,-9.78,0.04,-0.02,0.00"
"76023,0.16,1.41,-9.84,0.04,-0.02,0.00"
"76028,0.19,1.34,-9.71,0.05,-0.02,0.00"
"76032,0.13,1.31,-9.80,0.04,-0.02,0.00"
"76038,0.11,1.31,-9.78,0.04,-0.02,0.00"
"76041,0.11,1.37,-9.74,0.04,-0.02,0.00"
"76045,0.11,1.34,-9.76,0.04,-0.02,0.00"
