"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"348438,0.21,1.28,-9.84,0.03,-0.01,0.01"
"348444,0.17,1.26,-9.71,0.03,-0.01,0.01"
"348454,0.18,1.25,-9.78,0.03,-0.01,0.01"
"348460,0.11,1.26,-9.79,0.03,-0.01,0.01"
"348465,0.19,1.33,-9.77,0.03,-0.01,0.01"
"348469,0.17,1.18,-9.78,0.03,-0.01,0.01"
"348475,0.19,1.36,-9.79,0.03,-0.01,0.01"
"348479,0.14,1.30,-9.81,0.03,-0.01,0.01"
"348485,0.11,1.30,-9.77,0.03,-0.01,0.01"
"348489,0.21,1.21,-9.81,0.04,-0.01,0.01"
"348494,0.20,1.39,-9.89,0.04,-0.01,0.01"
"348498,0.14,1.28,-9.74,0.03,-0.01,0.01"
"348505,0.16,1.30,-9.77,0.04,-0.01,0.01"
"348509,0.21,1.30,-9.86,0.03,-0.01,0.01"
"348514,0.27,1.34,-9.77,0.03,-0.01,0.01"
"348518,0.20,1.27,-9.71,0.04,-0.01,0.01"
"348524,0.14,1.30,-9.86,0.04,-0.01,0.01"
"348529,0.29,1.25,-9.87,0.04,-0.01,0.01"
"348535,0.16,1.33,-9.80,0.04,-0.01,0.01"
"348539,0.22,1.35,-9.73,0.04,-0.01,0.01"
"348542,0.13,1.31,-9.74,0.03,-0.01,0.01"
"348547,0.18,1.26,-9.83,0.04,-0.01,0.01"
"348552,0.08,1.31,-9.81,0.04,-0.01,0.01"
"348555,0.21,1.34,-9.77,0.04,-0.01,0.01"
"348559,0.11,1.30,-9.76,0.04,-0.01,0.01"
"348564,0.16,1.27,-9.76,0.04,-0.01,0.01"
"348568,0.27,1.28,-9.80,0.04,-0.01,0.01"
"348572,0.17,1.25,-9.74,0.04,-0.01,0.01"
"348578,0.31,1.31,-9.82,0.04,-0.01,0.01"
"348582,0.18,1.29,-9.76,0.04,-0.01,0.01"
"348586,0.21,1.23,-9.79,0.04,-0.01,0.01"
"348590,0.17,1.29,-9.83,0.04,-0.01,0.01"
"348595,0.14,1.23,-9.78,0.04,-0.01,0.01"
"348599,0.18,1.25,-9.78,0.04,-0.01,0.01"
"348603,0.18,1.33,-9.82,0.04,-0.01,0.01"
"348607,0.09,1.28,-9.78,0.04,-0.01,0.00"
"348613,0.16,1.23,-9.78,0.04,-0.01,0.01"
"348616,0.17,1.23,-9.76,0.04,-0.01,0.01"
"348621,0.20,1.23,-9.79,0.04,-0.01,0.01"
"348625,0.18,1.29,-9.83,0.04,-0.01,0.01"
"348630,0.23,1.31,-9.79,0.04,-0.01,0.01"
"348634,0.24,1.25,-9.76,0.04,-0.01,0.01"
"348638,0.11,1.32,-9.85,0.04,-0.01,0.00"
"348642,0.26,1.32,-9.79,0.04,-0.01,0.01"
"348646,0.14,1.26,-9.80,0.04,-0.01,0.00"
"348649,0.32,1.29,-9.82,0.04,-0.01,0.00"
"348653,0.15,1.27,-9.84,0.04,-0.01,0.01"
"348657,0.27,1.31,-9.79,0.04,-0.01,0.01"
"348661,0.16,1.28,-9.88,0.04,-0.01,0.01"
"348665,0.13,1.30,-9.73,0.04,-0.01,0.01"
"348669,0.15,1.29,-9.80,0.05,-0.01,0.00"
"348673,0.21,1.31,-9.85,0.04,-0.01,0.00"
"348689,0.18,1.23,-9.76,0.05,-0.01,0.01"
"348702,0.15,1.31,-9.85,0.05,-0.01,0.00"
"348707,0.11,1.31,-9.74,0.04,-0.01,0.00"
"348713,0.18,1.25,-9.76,0.04,-0.01,0.00"
"348717,0.26,1.29,-9.82,0.04,-0.01,0.00"
"348722,0.24,1.30,-9.82,0.05,-0.01,0.00"
"348726,0.22,1.34,-9.76,0.05,-0.01,0.00"
"348731,0.14,1.34,-9.75,0.05,-0.01,0.00"
"348737,0.20,1.26,-9.72,0.04,-0.01,0.00"
"348741,0.08,1.31,-9.77,0.04,-0.01,0.00"
"348745,0.14,1.31,-9.81,0.05,-0.01,0.00"
"348752,0.18,1.27,-9.81,0.05,-0.01,0.00"
"348756,0.17,1.31,-9.88,0.05,-0.01,0.00"
"348761,0.17,1.43,-9.77,0.05,-0.01,0.00"
"348765,0.23,1.26,-9.81,0.05,-0.01,0.00"
"348772,0.12,1.28,-9.80,0.05,-0.01,0.00"
"348776,0.13,1.27,-9.74,0.05,-0.01,0.00"
"348781,0.19,1.28,-9.78,0.05,-0.01,0.00"
"348785,0.15,1.23,-9.81,0.05,-0.01,0.00"
"348790,0.20,1.34,-9.79,0.05,-0.01,0.00"
"348796,0.15,1.33,-9.83,0.05,-0.01,0.00"
"348801,0.20,1.31,-9.82,0.05,-0.01,0.00"
"348806,0.23,1.38,-9.78,0.05,-0.01,0.00"
"348809,0.20,1.33,-9.82,0.05,-0.01,0.00"
"348814,0.19,1.26,-9.80,0.05,-0.01,0.00"
"348819,0.17,1.29,-9.72,0.05,-0.01,0.00"
"348823,0.18,1.24,-9.89,0.04,-0.01,0.00"
"348827,0.20,1.24,-9.81,0.05,-0.01,0.00"
"348831,0.14,1.31,-9.82,0.05,-0.01,0.00"
"348834,0.21,1.34,-9.79,0.05,-0.01,0.00"
"348838,0.16,1.32,-9.79,0.05,-0.01,-0.00"
"348842,0.24,1.28,-9.77,0.05,-0.01,-0.00"
"348846,0.23,1.30,-9.76,0.04,-0.01,0.00"
"348850,0.20,1.31,-9.78,0.05,-0.01,0.00"
"348853,0.29,1.28,-9.71,0.05,-0.01,-0.00"
"348857,0.19,1.26,-9.77,0.05,-0.01,0.00"
"348861,0.17,1.29,-9.74,0.05,-0.01,0.00"
"348936,0.22,1.32,-9.83,0.05,-0.01,-0.00"
"348942,0.15,1.25,-9.77,0.05,-0.01,-0.00"
"348947,0.25,1.33,-9.68,0.05,-0.01,-0.00"
"348951,0.13,1.34,-9.73,0.05,-0.01,-0.00"
"348956,0.06,1.35,-9.77,0.05,-0.01,-0.00"
"348961,0.16,1.35,-9.74,0.05,-0.01,-0.00"
"348965,0.19,1.30,-9.78,0.05,-0.01,-0.00"
"348970,0.24,1.34,-9.76,0.05,-0.01,-0.00"
"348973,0.14,1.39,-9.72,0.05,-0.01,-0.00"
"348977,0.21,1.24,-9.83,0.05,-0.01,-0.00"
"348984,0.15,1.34,-9.77,0.05,-0.01,-0.01"
"348988,0.13,1.32,-9.75,0.05,-0.01,-0.00"
"348994,0.13,1.28,-9.86,0.05,-0.01,-0.00"
"348998,0.19,1.32,-9.85,0.05,-0.01,-0.00"
"349002,0.24,1.30,-9.82,0.05,-0.01,-0.01"
"349005,0.15,1.31,-9.79,0.05,-0.01,-0.01"
"349009,0.19,1.31,-9.75,0.05,-0.01,-0.00"
"349013,0.19,1.27,-9.84,0.05,-0.01,-0.00"
"349017,0.11,1.30,-9.76,0.05,-0.01,-0.00"
"349021,0.21,1.37,-9.74,0.04,-0.01,-0.00"
"349024,0.11,1.31,-9.79,0.05,-0.01,-0.00"
"349028,0.14,1.41,-9.72,0.05,-0.01,-0.01"
"349126,0.20,1.38,-9.76,0.04,-0.01,-0.01"
"349130,0.14,1.35,-9.83,0.04,-0.01,-0.01"
"349134,0.16,1.32,-9.79,0.04,-0.01,-0.01"
"349138,0.15,1.32,-9.78,0.04,-0.01,-0.01"
"349142,0.14,1.35,-9.79,0.04,-0.00,-0.01"
"349145,0.21,1.37,-9.80,0.04,-0.01,-0.01"
"349208,0.19,1.26,-9.72,0.04,-0.01,-0.01"
"349213,0.21,1.23,-9.83,0.04,-0.01,-0.01"
"349217,0.24,1.37,-9.77,0.04,-0.01,-0.01"
"349222,0.18,1.37,-9.75,0.04,-0.01,-0.01"
"349230,0.18,1.35,-9.73,0.04,-0.01,-0.01"
"349235,0.17,1.37,-9.77,0.04,-0.01,-0.01"
"349240,0.19,1.37,-9.82,0.04,-0.01,-0.01"
"349244,0.17,1.39,-9.80,0.04,-0.00,-0.01"
"349248,0.12,1.33,-9.82,0.04,-0.01,-0.01"
"349253,0.27,1.41,-9.84,0.04,-0.01,-0.01"
"349259,0.23,1.31,-9.71,0.04,-0.00,-0.01"
"349263,0.13,1.32,-9.78,0.04,-0.00,-0.01"
"349269,0.30,1.41,-9.75,0.04,-0.01,-0.01"
"349273,0.21,1.34,-9.77,0.04,-0.01,-0.01"
"349278,0.19,1.31,-9.84,0.04,-0.01,-0.01"
"349282,0.14,1.31,-9.76,0.04,-0.01,-0.01"
"349287,0.21,1.32,-9.80,0.04,-0.01,-0.01"
"349291,0.21,1.33,-9.80,0.04,-0.01,-0.01"
"349295,0.21,1.38,-9.76,0.04,-0.01,-0.01"
"349299,0.16,1.34,-9.75,0.03,-0.01,-0.01"
"349304,0.24,1.34,-9.80,0.03,-0.01,-0.01"
"349308,0.11,1.41,-9.85,0.04,-0.01,-0.01"
"349313,0.15,1.29,-9.70,0.03,-0.01,-0.01"
"349317,0.24,1.40,-9.76,0.03,-0.01,-0.01"
"349323,0.19,1.41,-9.78,0.03,-0.00,-0.01"
"349329,0.17,1.36,-9.79,0.03,-0.01,-0.01"
"349334,0.20,1.35,-9.74,0.03,-0.00,-0.01"
"349338,0.17,1.36,-9.85,0.03,-0.01,-0.01"
"349342,0.16,1.33,-9.76,0.03,-0.00,-0.01"
"349348,0.21,1.40,-9.74,0.03,-0.00,-0.01"
"349353,0.23,1.26,-9.71,0.03,-0.01,-0.01"
"349357,0.19,1.35,-9.80,0.03,-0.01,-0.01"
"349363,0.21,1.34,-9.77,0.03,-0.00,-0.02"
"349366,0.13,1.35,-9.85,0.03,-0.00,-0.01"
"349370,0.30,1.31,-9.75,0.03,-0.01,-0.01"
"349374,0.20,1.37,-9.77,0.03,-0.00,-0.01"
"349378,0.19,1.41,-9.81,0.03,-0.00,-0.01"
"349382,0.12,1.38,-9.74,0.03,-0.01,-0.01"
"349386,0.14,1.36,-9.83,0.03,-0.01,-0.01"
"349390,0.11,1.41,-9.80,0.03,-0.00,-0.01"
"349393,0.13,1.35,-9.79,0.03,-0.00,-0.01"
"349397,0.19,1.45,-9.73,0.03,-0.00,-0.01"
"349401,0.15,1.33,-9.73,0.03,-0.01,-0.01"
"349405,0.12,1.34,-9.87,0.03,-0.00,-0.01"
"349410,0.23,1.33,-9.77,0.03,-0.00,-0.01"
"349416,0.24,1.26,-9.76,0.03,-0.01,-0.01"
"349421,0.23,1.38,-9.79,0.03,-0.01,-0.01"
"349425,0.26,1.32,-9.71,0.03,-0.00,-0.01"
"349430,0.21,1.28,-9.80,0.03,-0.00,-0.01"
"349434,0.19,1.45,-9.84,0.03,-0.01,-0.01"
"349440,0.24,1.33,-9.78,0.03,-0.01,-0.01"
"349444,0.22,1.39,-9.73,0.03,-0.01,-0.01"
"349450,0.13,1.38,-9.77,0.03,-0.01,-0.01"
"349454,0.16,1.38,-9.77,0.03,-0.01,-0.01"
"349459,0.23,1.31,-9.78,0.02,-0.00,-0.01"
"349463,0.06,1.37,-9.77,0.02,-0.00,-0.01"
"349467,0.20,1.33,-9.75,0.02,-0.00,-0.01"
"349472,0.22,1.30,-9.75,0.02,-0.00,-0.01"
"349477,0.22,1.37,-9.76,0.02,-0.01,-0.01"
"349482,0.21,1.30,-9.83,0.02,-0.00,-0.01"
"349487,0.27,1.30,-9.74,0.02,-0.01,-0.01"
"349493,0.21,1.33,-9.74,0.02,-0.01,-0.01"
"349497,0.10,1.39,-9.81,0.02,-0.00,-0.01"
"349503,0.17,1.34,-9.77,0.02,-0.00,-0.01"
"349507,0.20,1.40,-9.77,0.02,-0.00,-0.01"
"349512,0.14,1.25,-9.76,0.02,-0.00,-0.01"
"349516,0.22,1.35,-9.76,0.02,-0.00,-0.01"
"349520,0.15,1.32,-9.78,0.02,-0.00,-0.01"
"349524,0.19,1.33,-9.75,0.02,-0.00,-0.01"
"349529,0.18,1.36,-9.77,0.02,-0.01,-0.01"
"349533,0.13,1.34,-9.81,0.02,-0.00,-0.01"
"349538,0.19,1.39,-9.74,0.02,-0.00,-0.01"
"349542,0.16,1.37,-9.76,0.02,-0.00,-0.01"
"349546,0.17,1.31,-9.77,0.02,-0.00,-0.01"
"349551,0.18,1.42,-9.69,0.02,-0.00,-0.01"
"349557,0.20,1.31,-9.76,0.02,-0.00,-0.01"
"349564,0.23,1.36,-9.78,0.02,-0.00,-0.01"
"349570,0.23,1.34,-9.75,0.01,-0.01,-0.01"
"349574,0.20,1.36,-9.77,0.02,-0.00,-0.01"
"349578,0.02,1.40,-9.76,0.02,-0.00,-0.01"
"349584,0.27,1.35,-9.82,0.02,-0.00,-0.01"
"349588,0.20,1.32,-9.77,0.01,-0.00,-0.01"
"349594,0.22,1.29,-9.73,0.01,-0.00,-0.01"
"349598,0.17,1.39,-9.76,0.01,-0.00,-0.01"
"349604,0.13,1.41,-9.80,0.02,-0.00,-0.01"
"349608,0.09,1.35,-9.80,0.01,-0.00,-0.01"
"349612,0.11,1.29,-9.78,0.01,-0.00,-0.01"
"349617,0.25,1.34,-9.73,0.01,-0.00,-0.01"
"349621,0.11,1.31,-9.77,0.01,-0.00,-0.01"
"349625,0.12,1.35,-9.82,0.01,-0.00,-0.01"
"349630,0.16,1.36,-9.80,0.01,-0.00,-0.01"
"349634,0.11,1.39,-9.76,0.01,-0.00,-0.01"
"349639,0.15,1.42,-9.80,0.01,-0.00,-0.01"
"349643,0.20,1.32,-9.74,0.01,-0.00,-0.01"
"349647,0.16,1.36,-9.69,0.01,-0.00,-0.01"
"349652,0.16,1.32,-9.81,0.01,-0.01,-0.01"
"349656,0.09,1.30,-9.77,0.01,-0.00,-0.01"
"349660,0.14,1.38,-9.84,0.01,-0.01,-0.01"
"349665,0.14,1.34,-9.73,0.01,-0.00,-0.01"
"349670,0.13,1.34,-9.72,0.01,-0.00,-0.01"
"349677,0.17,1.38,-9.72,0.01,-0.00,-0.01"
"349681,0.15,1.31,-9.77,0.01,-0.00,-0.01"
"349687,0.19,1.40,-9.71,0.01,-0.00,-0.01"
"349690,0.15,1.38,-9.83,0.01,-0.00,-0.01"
"349694,0.16,1.34,-9.79,0.01,-0.00,-0.01"
"349699,0.18,1.33,-9.80,0.01,-0.00,-0.01"
"349703,0.11,1.33,-9.75,0.01,-0.00,-0.01"
"349708,0.14,1.34,-9.78,0.01,-0.01,-0.01"
"349712,0.19,1.40,-9.80,0.01,-0.00,-0.01"
"349716,0.28,1.30,-9.76,0.01,-0.00,-0.01"
"349720,0.16,1.31,-9.80,0.00,-0.00,-0.01"
"349727,0.11,1.40,-9.78,0.00,-0.00,-0.01"
"349731,0.22,1.38,-9.78,0.01,-0.01,-0.01"
"349735,0.20,1.41,-9.81,0.01,-0.01,-0.01"
"349739,0.26,1.36,-9.74,0.01,-0.01,-0.01"
"349743,0.22,1.36,-9.74,0.00,-0.00,-0.01"
"349747,0.15,1.33,-9.74,0.00,-0.00,-0.01"
"349751,0.12,1.34,-9.84,0.00,-0.00,-0.01"
"349754,0.24,1.36,-9.73,0.00,-0.00,-0.01"
"349758,0.13,1.32,-9.83,0.00,-0.00,-0.01"
"349762,0.20,1.36,-9.76,0.00,-0.00,-0.01"
"349781,0.26,1.35,-9.77,0.00,-0.00,-0.01"
"349785,0.11,1.39,-9.75,0.00,-0.01,-0.01"
"349789,0.11,1.31,-9.84,0.00,-0.00,-0.01"
"349795,0.16,1.42,-9.80,0.00,-0.00,-0.01"
"349799,0.15,1.28,-9.80,0.00,-0.00,-0.01"
"349805,0.24,1.36,-9.77,-0.00,-0.01,-0.01"
"349809,0.16,1.31,-9.77,0.00,-0.00,-0.01"
"349815,0.13,1.43,-9.77,-0.00,-0.00,-0.01"
"349819,0.14,1.33,-9.78,-0.00,-0.00,-0.01"
"349825,0.19,1.37,-9.76,-0.00,-0.00,-0.01"
"349829,0.24,1.36,-9.80,-0.00,-0.01,-0.01"
"349835,0.15,1.36,-9.81,-0.00,-0.00,-0.01"
"349839,0.13,1.36,-9.82,-0.00,-0.00,-0.01"
