millis, a_x, a_y, a_z, g_x, g_y, g_z
504236,0.72,1.66,-10.16,0.33,0.06,-0.32
504242,0.28,1.19,-9.99,0.34,0.06,-0.33
504247,0.32,1.27,-9.81,0.33,0.07,-0.34
504251,0.38,1.57,-9.46,0.32,0.08,-0.34
504359,0.76,4.3,-8.19,-0.24,0,-0.41
504363,0.67,4.08,-8.17,-0.28,0.01,-0.41
504368,0.51,4.07,-8.47,-0.3,0,-0.41
504373,0.52,3.62,-8.61,-0.32,0,-0.41
504377,0.49,3.61,-8.9,-0.33,-0.01,-0.42
504382,0.48,3.41,-9.09,-0.35,-0.02,-0.42
504386,0.44,3.17,-9.64,-0.36,-0.02,-0.42
504391,0.74,3.28,-10.06,-0.39,-0.01,-0.43
504410,0.78,3.25,-10.95,-0.47,-0.01,-0.43
504419,0.88,2.79,-11.07,-0.47,-0.03,-0.43
504424,0.96,2.37,-11.15,-0.47,-0.04,-0.43
504429,1.06,2.01,-11.21,-0.49,-0.01,-0.44
504434,1.13,1.93,-10.97,-0.51,-0.01,-0.43
504439,1.06,1.27,-10.35,-0.49,-0.03,-0.43
504443,0.89,0.76,-10.75,-0.47,-0.03,-0.44
504448,1.06,0.33,-10.57,-0.47,-0.03,-0.43
504453,0.87,0.03,-9.99,-0.47,-0.02,-0.4
504458,0.9,-0.23,-10.24,-0.47,-0.03,-0.39
504462,0.58,0.44,-10.3,-0.46,-0.05,-0.4
504467,0.31,0.52,-9.69,-0.45,-0.05,-0.41
504472,0.48,0.19,-10.06,-0.44,-0.04,-0.42
504514,1.62,-0.76,-9.99,-0.28,-0.01,-0.39
504518,1.87,-1.38,-9.98,-0.25,0,-0.37
504525,1.83,-2.15,-9.65,-0.2,0.02,-0.38
504529,1.45,-1.84,-9.52,-0.19,-0.03,-0.37
504535,1.39,-1.8,-9.37,-0.17,-0.05,-0.34
504539,1.45,-1.52,-9.44,-0.14,-0.02,-0.36
504545,1.27,-0.95,-8.93,-0.12,0,-0.37
