millis,a_x,a_y,a_z,f,,,
421813,-0.68,0.98,0.73,0,,,
421818,-0.68,0.98,0.59,0,,,
421822,-0.64,1.07,0.59,0,,,
421826,-0.64,1.07,0.59,0,,,
421830,-0.64,1.07,0.59,0,,,
421835,-0.64,1.07,0.59,0,,,
421839,-0.59,0.78,1.03,0,,,
421843,-0.59,0.78,1.03,0,,,
421848,-0.59,0.78,1.03,0,,,
421852,-0.59,0.78,1.03,0,,,
421856,-0.59,0.78,0.93,0,,,
421860,-0.98,0.54,0.93,0,,,
421865,-0.98,0.54,0.93,0,,,
421869,-0.98,0.54,0.93,0,,,
421873,-0.98,0.54,0.93,0,,,
421878,-0.73,0.49,0.93,0,,,
421882,-0.73,0.49,0.93,0,,,
421886,-0.73,0.49,0.93,0,,,
421891,-0.73,0.49,0.93,0,,,
421895,-1.51,0.49,1.03,0,,,
421899,-0.98,0.49,1.03,0,,,
421903,-0.98,0.49,1.03,0,,,
421908,-0.98,0.49,1.03,0,,,
421912,-0.98,0.49,1.03,0,,,
421916,-1.03,0.49,1.22,0,,,
421921,-1.03,0.49,1.22,0,,,
421926,-1.03,0.49,1.22,0,,,
421930,-1.03,0.49,1.22,0,,,
421935,-1.12,0.68,1.03,0,,,
421939,-1.12,0.68,1.03,0,,,
421943,-1.12,0.68,1.03,0,,,
421948,-1.12,0.68,1.03,0,,,
421952,-1.12,0.29,1.32,0,,,
421956,-1.27,0.29,1.32,0,,,
421961,-1.27,0.29,1.32,0,,,
421965,-1.27,0.29,1.32,0,,,
421969,-1.27,0.29,2.1,0,,,
421974,-1.66,0.29,1.66,0,,,
421978,-1.66,0.29,1.66,0,,,
421982,-1.66,0.29,1.66,0,,,
421987,-1.66,0.29,1.66,0,,,
421991,-1.95,0.1,1.76,0,,,
421995,-1.95,0.1,1.76,0,,,
422008,-1.95,0.1,1.81,0,,,
422012,-2.44,-0.05,1.81,0,,,
422016,-2.44,-0.05,1.81,0,,,
422021,-2.44,-0.05,1.81,0,,,
422025,-2.44,-0.05,1.81,0,,,
422030,-2.64,-0.1,2.2,0,,,
422034,-2.64,-0.1,2.2,0,,,
422038,-2.64,-0.1,2.2,0,,,
422043,-2.64,-0.1,2.2,0,,,
422047,-2.64,-0.15,2.1,0,,,
422051,-2.44,-0.15,2.1,0,,,
422056,-2.44,-0.15,2.1,0,,,
422060,-2.44,-0.15,2.1,0,,,
422065,-2.44,-0.15,2.39,0,,,
422069,-2.59,-0.49,2.39,0,,,
422073,-2.59,-0.49,2.39,0,,,
422078,-2.59,-0.49,2.39,0,,,
422082,-2.59,-0.49,2.39,0,,,
422086,-1.71,-0.05,2,0,,,
422091,-1.71,-0.05,2,0,,,
422095,-1.71,-0.05,2,0,,,
422100,-1.71,-0.05,2,3574,,,
422104,2.2,-1.07,2.15,3949,,,
422108,2.15,-1.07,2.15,4095,,,
422113,2.15,-1.07,2.15,4095,,,
422117,2.15,-1.07,2.15,4095,,,
422121,2.15,-1.07,-15.83,4095,,,
422126,1.32,5.52,-15.78,4095,,,
422130,1.32,5.52,-15.78,4095,,,
422134,1.32,5.52,-15.78,4095,,,
422139,1.32,5.52,-15.78,4095,,,
422143,7.52,1.56,3.13,4095,,,
422147,7.52,1.56,3.13,4095,,,
422151,7.52,1.56,3.13,4095,,,
422155,7.52,1.56,3.13,4095,,,
422160,7.52,1.56,1.07,4095,,,
422164,3.08,-0.83,1.07,4095,,,
422168,3.08,-0.83,1.07,4095,,,
422172,3.08,-0.83,1.07,4027,,,90
422177,3.08,-0.83,1.07,3863,,,
422181,-0.49,0.59,-0.29,3707,,,
422185,-0.49,0.59,-0.29,3460,,,
422190,-0.49,0.59,-0.29,3226,,,
422330,0.34,0.88,0,0,,,
422335,0.29,0.88,0,0,,,
422339,0.29,0.88,0,0,,,
422343,0.29,0.88,0,0,,,
422347,0.29,0.88,0,0,,,
422352,-0.1,0.93,0,0,,,
422356,-0.1,0.93,0,0,,,
422396,-0.05,0.98,0.1,0,,,
422401,-0.05,0.98,0.1,0,,,
422406,-0.05,0.98,0.1,0,,,
422410,-0.05,1.07,0,0,,,
422416,-0.05,1.07,0,0,,,
422424,-0.05,1.07,0,0,,,
422429,-0.24,1.32,-0.15,0,,,
422433,-0.24,1.32,-0.15,0,,,
422437,-0.24,1.32,-0.15,0,,,
422442,-0.24,1.32,-0.15,0,,,
422446,-0.24,1.07,0.05,0,,,
422450,-0.39,1.07,0.05,0,,,
422455,-0.39,1.07,0.05,0,,,
422459,-0.39,1.07,0.05,0,,,
422463,-0.39,1.07,0.05,0,,,
422467,-0.15,1.07,0.1,0,,,
422473,-0.15,1.07,0.1,0,,,
422477,-0.15,1.07,0.1,0,,,
422482,-0.15,1.07,0.1,0,,,
422486,-0.1,1.12,0.29,0,,,
422490,-0.1,1.12,0.29,0,,,
422495,-0.1,1.12,0.29,0,,,
422499,-0.1,1.12,0.29,0,,,
422503,-0.24,0.93,0.2,0,,,
422508,-0.24,0.93,0.2,0,,,
422512,-0.24,0.93,0.2,0,,,
422516,-0.24,0.93,0.2,0,,,
422521,-0.24,0.93,0.54,0,,,
422525,-0.34,1.07,0.54,0,,,
422530,-0.34,1.07,0.54,0,,,
422534,-0.34,1.07,0.54,0,,,
422538,-0.34,1.07,0.54,0,,,
422543,-0.2,1.07,0.49,0,,,
422547,-0.2,1.07,0.49,0,,,
422551,-0.2,1.07,0.49,0,,,
422556,-0.2,1.07,0.49,0,,,
422560,-0.24,1.03,0.59,0,,,
422564,-0.24,1.03,0.59,0,,,
422569,-0.24,1.03,0.59,0,,,
422573,-0.24,1.03,0.59,0,,,
422577,-0.24,1.03,0.59,0,,,
422581,-0.24,1.37,0.59,0,,,
422586,-0.24,1.37,0.59,0,,,
422590,-0.24,1.37,0.59,0,,,
422594,-0.24,1.37,0.59,0,,,
