millis,a_x, a_y, a_z, g_x, g_y, g_z
807419,1.81,2.26,-10.55,-0.38,0.09,-0.01
807425,1.4,1.68,-10.76,-0.37,0.08,0
807430,0.85,0.72,-11.21,-0.35,0.08,0
807435,0.34,0.05,-11.53,-0.33,0.06,0
807440,-0.14,-0.48,-11.17,-0.33,0.06,0
807445,-0.58,-0.39,-11.29,-0.33,0.05,0.01
807449,-0.96,-0.78,-10.69,-0.32,0.05,0.01
807455,-0.84,-1.19,-10.41,-0.26,0.01,0.01
807460,-0.86,-1.15,-10.12,-0.26,0,0.01
807471,0.61,-0.03,-9.59,-0.23,0.02,0
807475,1.08,0.39,-9,-0.24,0.02,0
807480,1.52,0.7,-8.65,-0.24,0.03,0
807485,1.64,0.97,-8.46,-0.23,0.03,0.01
807489,1.84,0.82,-8.2,-0.21,0.01,0.02
807495,1.55,0.81,-8.33,-0.21,0.02,0.02
807500,1.39,0.7,-8.29,-0.21,0.02,0.02
807565,1.13,-0.88,-10.81,0.06,-0.03,0.05
807569,0.92,-0.78,-10.21,0.08,-0.03,0.05
807574,0.61,-0.42,-9.99,0.1,-0.05,0.06
807578,0.36,-0.42,-9.96,0.11,-0.06,0.07
807583,0.57,-0.4,-9.4,0.13,-0.03,0.05
807589,0.41,-0.42,-9.26,0.15,-0.04,0.04
807639,1.19,1.07,-10.98,0.21,-0.05,0.04
807643,1.08,1.61,-11.11,0.19,-0.05,0.05
807648,0.97,2.12,-10.97,0.18,-0.04,0.05
807652,1.13,2.7,-10.51,0.17,-0.04,0.04
807657,1.18,3.15,-10.39,0.17,-0.04,0.02
807661,1,3.44,-10.19,0.16,-0.05,0.02
807666,1.21,3.37,-9.87,0.14,-0.04,0.02
807670,1.23,3.29,-9.36,0.14,-0.04,0
807675,1.2,3.65,-9.52,0.12,-0.03,-0.03
807679,1.47,3.42,-9.06,0.08,-0.01,-0.02
807684,1.49,2.59,-8.93,0.1,-0.01,-0.02
807689,1.45,2.18,-8.95,0.09,-0.01,-0.01
807693,1.2,2.56,-8.76,0.07,-0.02,-0.01
807699,1.27,2.51,-8.68,0.05,-0.01,-0.02
807707,1.41,2.39,-8.84,0.04,0.02,-0.05
807711,1.23,2.22,-9.11,0.02,0.01,-0.03
807716,1.26,1.96,-9.51,0.02,0.01,-0.03
807720,1.12,2.12,-9.6,0.01,0.01,-0.03
807725,1,2.52,-9.87,0.01,0,-0.04
807730,1,2.56,-10.06,-0.01,0.01,-0.04
807735,1.26,2.7,-10.05,-0.01,0.03,-0.06
807740,1.4,2.9,-10.1,-0.03,0.03,-0.05
807745,1.28,2.86,-10.17,-0.04,0.02,-0.05
807750,1.12,2.74,-10.39,-0.05,0.03,-0.05
807754,1.31,2.59,-10.26,-0.07,0.04,-0.06
807760,1.23,2.58,-10.07,-0.08,0.04,-0.07
807767,1.3,2.5,-9.96,-0.09,0.04,-0.07
807772,1.42,2.27,-9.7,-0.1,0.05,-0.08
807777,1.42,2.11,-9.5,-0.11,0.05,-0.08
807782,1.42,1.87,-9.27,-0.11,0.05,-0.08
807787,1.27,1.9,-9.13,-0.12,0.06,-0.09
807792,1.23,2.01,-9.33,-0.13,0.06,-0.09
