millis,a_x,a_y,a_z,f
815847,-0.88,0.98,0.83,0
815852,-0.88,0.98,0.83,0
815856,-0.88,0.98,0.83,0
815860,-0.88,0.98,1.17,0
815864,-0.78,0.68,1.17,0
815870,-0.78,0.68,1.17,0
815874,-0.78,0.68,1.17,0
815879,-0.78,0.68,1.17,0
815883,-0.88,0.78,0.88,0
815887,-0.88,0.78,0.88,0
815892,-0.88,0.78,0.88,0
815896,-0.88,0.78,0.88,0
815900,-0.98,0.78,1.27,0
815904,-0.98,0.78,1.27,0
815909,-0.98,0.78,1.27,0
815913,-0.98,0.78,1.27,0
815917,-0.98,0.78,1.17,0
815922,-0.98,0.49,1.17,0
815926,-0.98,0.49,1.17,0
815930,-0.98,0.49,1.17,0
815934,-0.98,0.49,1.17,0
815939,-1.47,0.59,1.22,0
815943,-1.47,0.59,1.22,0
815947,-1.47,0.59,1.22,0
815951,-1.47,0.59,1.22,0
815956,-2.25,0.59,1.03,0
815960,-1.61,0.34,1.03,0
815965,-1.61,0.34,1.03,0
815969,-1.61,0.34,1.03,0
815973,-1.61,0.34,1.03,0
815978,-2.05,-0.05,1.07,0
815982,-2.05,-0.05,1.07,0
815986,-2.05,-0.05,1.07,0
815991,-2.05,-0.05,1.07,0
815995,-2.59,-0.49,1.76,0
816000,-2.59,-0.49,1.76,0
816004,-2.59,-0.49,1.76,0
816008,-2.59,-0.49,1.76,0
816013,-2.59,-0.49,1.56,0
816017,-2.39,-0.24,1.56,0
816021,-2.39,-0.24,1.56,0
816026,-2.39,-0.24,1.56,0
816030,-2.39,-0.24,1.56,0
816034,-2.2,-0.29,1.56,0
816039,-2.2,-0.29,1.56,0
816043,-2.2,-0.29,1.56,0
816047,-2.2,-0.29,1.56,0
816052,-1.27,-0.34,2.05,0
816056,-1.27,-0.34,2.05,0
816060,-1.27,-0.34,2.05,0
816064,-1.27,-0.34,2.05,2891
816069,-1.27,-0.34,2.2,3410
816073,2.49,-1.17,2.2,4095
816077,2.49,-1.17,2.2,4095
816161,-0.44,-2.44,2.34,3987
816165,1.22,-0.49,1.37,3977
816169,1.22,-0.49,1.37,3940
816174,1.22,-0.49,1.37,3887
816178,1.22,-0.49,1.37,3799
816182,1.22,-0.49,1.37,3655
816187,0.2,-0.05,1.47,3471
816191,0.2,-0.05,1.47,3184
816195,0.2,-0.05,1.47,2832
816199,0.2,-0.05,1.47,2431
816204,-1.61,-0.24,0.59,1874
816208,-1.61,-0.24,0.59,1669
816212,-1.61,-0.24,0.59,1245
816216,-1.61,-0.24,0.59,986
816221,-1.61,-0.24,-0.59,744
816225,0.44,2.05,-0.59,763
816327,-0.1,1.12,0.24,0
816332,-0.1,1.12,0.24,0
816336,-0.1,1.03,0.39,0
816340,-0.05,1.03,0.39,0
816344,-0.05,1.03,0.39,0
816349,-0.05,1.03,0.39,0
816353,-0.05,1.03,0.39,0
816357,-0.29,0.93,0.59,0
816366,-0.29,0.93,0.59,0
816370,-0.29,0.93,0.59,0
816374,-0.29,1.03,0.39,0
816379,-0.2,1.03,0.39,0
816383,-0.2,1.03,0.39,0
816387,-0.2,1.03,0.39,0
816392,-0.2,1.03,0.59,0
816396,-0.05,0.88,0.59,0
816411,-0.05,0.88,0.59,0
816415,-0.34,0.88,0.59,0
816422,-0.34,0.88,0.59,0
816426,-0.34,0.88,0.59,0
816430,-0.34,0.1,0.78,0
816435,-0.39,0.54,0.78,0
816439,-0.39,0.54,0.78,0
816443,-0.39,0.54,0.78,0
816448,-0.39,0.54,0.78,0
816452,-0.44,0.88,1.03,0
816456,-0.44,0.88,1.03,0
816461,-0.44,0.88,1.03,0
816465,-0.44,0.88,1.03,0
816469,-0.34,0.88,0.78,0
816473,-0.34,0.88,0.78,0
816478,-0.34,0.88,0.78,0
816482,-0.34,0.88,0.78,0
816486,-0.34,0.88,0.78,0
816491,-0.29,1.12,0.78,0
816495,-0.29,1.12,0.78,0
816499,-0.29,1.12,0.78,0
816503,-0.29,1.12,0.78,0
816515,-0.34,0.54,0.83,0
816519,-0.34,0.54,0.83,0
816523,-0.34,0.54,0.83,0
816557,-0.34,0.98,0.78,0
816561,-0.34,0.98,0.78,0
816565,-0.44,0.93,0.78,0
816570,-0.44,0.93,0.78,0
816574,-0.44,0.93,0.78,0
816578,-0.44,0.93,0.78,0
816583,-0.44,0.88,0.64,0
816587,-0.24,0.88,0.64,0
816591,-0.24,0.88,0.64,0
816596,-0.24,0.88,0.64,0
816600,-0.24,0.88,0.64,0
816604,-0.44,0.78,0.73,0
816609,-0.44,0.78,0.73,0
816613,-0.44,0.78,0.73,0
816617,-0.44,0.78,0.73,0
816622,-0.34,0.88,0.83,0
816626,-0.34,0.88,0.83,0
816630,-0.34,0.88,0.83,0
816635,-0.34,0.88,0.83,0
816639,-0.34,0.88,0.83,0
816643,-0.34,0.88,0.83,0
816647,-0.34,0.88,0.83,0
816652,-0.34,0.88,0.83,0
816656,-0.34,0.88,0.83,0
816660,-0.44,0.98,0.98,0
816664,-0.44,0.98,0.98,0
816669,-0.44,0.98,0.98,0
816673,-0.44,0.98,0.98,0
816678,-0.44,0.98,1.07,0
816682,-0.49,1.07,1.07,0
816686,-0.49,1.07,1.07,0
816691,-0.49,1.07,1.07,0
816695,-0.49,1.07,1.07,0
816699,-0.39,0.88,1.03,0
816704,-0.39,0.88,1.03,0
816708,-0.39,0.88,1.03,0
816712,-0.39,0.88,1.03,0
816717,-0.54,0.88,1.07,0
816721,-0.54,0.88,1.07,0
816725,-0.54,0.88,1.07,0
816729,-0.54,0.88,1.07,0
816734,-0.54,0.88,1.17,0
816738,-0.39,0.88,1.17,0
816742,-0.39,0.88,1.17,0
816747,-0.39,0.88,1.17,0
816751,-0.39,0.88,1.17,0
816755,-0.44,0.83,0.83,0
816760,-0.44,0.83,0.83,0
816764,-0.44,0.83,0.83,0
816768,-0.44,0.83,0.83,0
816773,-0.44,0.88,1.17,0
816777,-0.44,0.88,1.17,0
816782,-0.44,0.88,1.17,0
816786,-0.44,0.88,1.17,0
816790,-0.44,0.88,1.17,0
816794,-0.29,0.78,1.07,0
816799,-0.29,0.78,1.07,0
816803,-0.29,0.78,1.07,0
816807,-0.29,0.78,1.07,0
816812,-0.44,0.78,0.98,0
816816,-0.44,0.78,0.98,0
816820,-0.44,0.78,0.98,0
816824,-0.44,0.78,0.98,0
816829,-0.44,0.78,1.07,0
816833,-0.54,0.83,1.07,0
816837,-0.54,0.83,1.07,0
816846,-0.54,0.83,1.07,0
816851,-0.64,0.68,1.22,0
816855,-0.64,0.68,1.22,0
816860,-0.64,0.68,1.22,0
816864,-0.64,0.68,1.22,0
816868,-0.59,0.68,1.22,0
816873,-0.59,0.68,1.22,0
816877,-0.59,0.68,1.22,0
816881,-0.59,0.68,1.22,0
816885,-0.59,0.68,1.22,0
816890,-0.54,0.73,1.22,0
816894,-0.54,0.73,1.22,0
816905,-0.54,0.73,1.32,0
816909,-0.54,0.59,1.32,0
816913,-0.54,0.59,1.32,0
816918,-0.54,0.59,1.32,0
816922,-0.54,0.59,1.32,0
816926,-0.64,0.54,1.47,0
816931,-0.64,0.54,1.47,0
816935,-0.64,0.54,1.47,0
816939,-0.64,0.54,1.47,0
816944,-0.64,0.78,1.56,0
816948,-0.59,0.78,1.56,0
816953,-0.59,0.78,1.56,0
816957,-0.59,0.78,1.56,0
816961,-0.59,0.78,1.56,0
816966,-0.64,0.54,1.56,0
816970,-0.64,0.54,1.56,0
816974,-0.64,0.54,1.56,0
816979,-0.64,0.54,1.56,0
816983,-0.59,0.59,1.47,0
816987,-0.59,0.59,1.47,0
816991,-0.59,0.59,1.47,0
816996,-0.59,0.59,1.47,0
817000,-0.59,0.59,1.37,0
817005,-0.73,0.59,1.37,0
817009,-0.73,0.59,1.37,0
817013,-0.73,0.59,1.37,0
817018,-0.73,0.59,1.37,0
817022,-0.93,0.88,1.17,0
817026,-0.93,0.88,1.17,0
817030,-0.93,0.88,1.17,0
817035,-0.93,0.88,1.17,0
817039,-0.68,0.83,1.27,0
817043,-0.68,0.83,1.27,0
817048,-0.68,0.83,1.27,0
817052,-0.68,0.83,1.27,0
817056,-0.68,0.83,1.42,0
817061,-0.59,0.78,1.42,0
817065,-0.59,0.78,1.42,0
817070,-0.59,0.78,1.42,0
817074,-0.59,0.78,1.42,0
817078,-0.39,0.78,1.22,0
817083,-0.39,0.78,1.22,0
817087,-0.39,0.78,1.22,0
817091,-0.39,0.78,1.22,0
817096,-0.64,0.54,1.17,0
817100,-0.64,0.54,1.17,0
817104,-0.64,0.54,1.17,0
817109,-0.64,0.54,1.17,0
817113,-0.64,0.54,1.17,0
817117,-0.64,0.68,1.22,0
817122,-0.64,0.68,1.22,0
817126,-0.64,0.68,1.22,0
817130,-0.64,0.68,1.22,0
817135,-0.49,0.78,0.93,0
817139,-0.49,0.78,0.93,0
817143,-0.49,0.78,0.93,0
817148,-0.49,0.78,0.93,0
817152,-0.49,0.78,1.03,0
817156,-0.54,0.93,1.03,0
817161,-0.54,0.93,1.03,0
817165,-0.54,0.93,1.03,0
817169,-0.54,0.93,1.03,0
817174,-0.64,0.88,1.07,0
817178,-0.64,0.88,1.07,0
817182,-0.64,0.88,1.07,0
817187,-0.64,0.88,1.07,0
817191,-0.59,1.03,1.03,0
817195,-0.59,1.03,1.03,0
817200,-0.59,1.03,1.03,0
817204,-0.59,1.03,1.03,0
817208,-0.59,1.03,0.88,0
817212,-0.68,0.83,0.88,0
817217,-0.68,0.83,0.88,0
817221,-0.68,0.83,0.88,0
817225,-0.68,0.83,0.88,0
817230,-0.73,0.68,0.98,0
817234,-0.73,0.68,0.98,0
817238,-0.73,0.68,0.98,0
817250,-0.83,0.88,0.98,0
817254,-0.83,0.88,0.98,0
817259,-0.83,0.88,0.98,0
817268,-0.78,0.93,0.93,0
817273,-0.78,0.93,0.93,0
817277,-0.78,0.93,0.93,0
817281,-0.78,0.93,0.93,0
817285,-1.56,1.07,0.88,0
817290,-0.98,1.07,0.88,0
817294,-0.98,1.07,0.88,0
817299,-0.98,1.07,0.88,0
817303,-0.98,1.07,0.98,0
817307,-0.83,0.88,0.98,0
817312,-0.83,0.88,0.98,0
817316,-0.83,0.88,0.98,0
817320,-0.83,0.88,0.98,0
817325,-1.03,0.64,0.93,0
817329,-1.03,0.64,0.93,0
817333,-1.03,0.64,0.93,0
817338,-1.03,0.64,0.93,0
817342,-1.03,0.64,1.07,0
817346,-1.07,0.54,1.07,0
817351,-1.07,0.54,1.07,0
817355,-1.07,0.54,1.07,0
817359,-1.07,0.54,1.07,0
817364,-1.07,0.24,1.22,0
817368,-1.07,0.24,1.22,0
817372,-1.07,0.24,1.22,0
817376,-1.07,0.24,1.22,0
817381,-1.07,0.24,0.98,0
817385,-1.32,0.24,0.98,0
817389,-1.32,0.24,0.98,0
817393,-1.32,0.24,0.98,0
817398,-1.32,0.24,0.98,0
817402,-1.86,0.2,1.22,0
817410,-1.86,0.2,1.22,0
817414,-1.86,0.2,1.22,0
817419,-1.86,0,1.56,0
817423,-2.3,0,1.56,0
817427,-2.3,0,1.56,0
817432,-2.3,0,1.56,0
817436,-2.3,0,1.56,0
817440,-2.59,-0.49,1.56,0
817445,-2.59,-0.49,1.56,0
817449,-2.59,-0.49,1.56,0
817454,-2.59,-0.49,1.56,0
817458,-3.22,-0.93,1.76,0
817462,-3.22,-0.93,1.76,0
817467,-3.22,-0.93,1.76,0
817471,-3.22,-0.93,1.76,0
817476,-2.44,-0.2,2.1,0
817480,-2.74,-0.2,2.1,0
817484,-2.74,-0.2,2.1,0
817489,-2.74,-0.2,2.1,0
817493,-2.74,-0.2,1.56,0
817497,-1.27,-0.29,1.56,0
817502,-1.27,-0.29,1.56,0
817506,-1.27,-0.29,1.56,0
817511,-1.27,-0.29,1.56,0
817515,0.29,0,0.98,1847
817519,0.29,0,0.98,3152
817523,0.29,0,0.98,3952
817528,0.29,0,0.98,4095
817532,0.29,4.69,-3.18,4095
817536,12.55,4.79,-3.18,4095
817540,12.55,4.79,-3.18,4095
817605,-0.39,-4.45,3.47,4095
817609,0.78,-1.22,1.03,4095
817644,0.64,-0.1,0.15,2846
817648,-0.1,0.39,0.05,2423
818647,-0.88,0.73,0.68,0
818652,-0.88,0.73,0.83,0
819462,-0.29,0.88,1.07,0
819466,-0.29,0.88,1.07,0
819470,-0.39,1.03,1.12,0
819475,-0.39,1.03,1.12,0
819479,-0.39,1.03,1.12,0
819483,-0.39,1.03,1.12,0
819488,-0.39,1.03,0.98,0
819492,-0.44,0.98,0.98,0
819496,-0.44,0.98,0.98,0
819500,-0.44,0.98,0.98,0
819505,-0.44,0.98,0.98,0
819509,-0.24,0.88,1.17,0
819513,-0.24,0.88,1.17,0
819518,-0.24,0.88,1.17,0
819522,-0.24,0.88,1.17,0
819526,-0.24,0.88,1.42,0
819531,-0.34,0.88,1.42,0
819535,-0.34,0.88,1.42,0
819539,-0.34,0.88,1.42,0
819543,-0.34,0.88,1.42,0
819548,-0.2,0.68,1.17,0
819552,-0.2,0.68,1.17,0
819556,-0.2,0.68,1.17,0
819561,-0.2,0.68,1.17,0
819565,-0.34,0.64,1.17,0
819569,-0.34,0.64,1.17,0
819574,-0.34,0.64,1.17,0
